Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Alfredo Amezaga","FLA","A+,AA,AAA","31-39",2315,0.32212389,1.30067568,0.19217082,0.45670225,0.35112693,0.23310811,0.0472973,0.45117076,0.22844089,0.32038835,0.0780443,3304,5409,8713,"1"
"David Eckstein","TOR","A,A+","33-35",29,0.22727273,2,0.1,0.6,0.3,0.16666667,0,0.5,0.09090909,0.40909091,0.07272727,22,33,55,"10"
"George Arias","MEX","AAA","34-34",347,0.25301205,,,,,,,,,,,,,,"1000299"
"Matt Blank","SDP","AA,AAA","30-30",14,0.33333333,,,,,,,,,,,,,,"1001053"
"Tilson Brito","MEX","AAA","34-34",220,0.34013605,,,,,,,,,,,,,,"1001446"
"Cliff Brumbaugh","MEX","AAA","36-36",93,0.26315789,1,0.18032787,0.40983607,0.40983607,0.28,0.16,0.68253968,0.12698413,0.19047619,0.09693878,155,237,392,"1001582"
"Scott Bullett","MEX","AAA","37-37",427,0.37458194,,,,,,,,,,,,,,"1001644"
"Alex Cabrera","MEX","AAA","42-42",55,0.375,2.36363636,0.13953488,0.60465116,0.25581395,0.18181818,0.36363636,0.5,0.20454545,0.29545455,0.06372549,89,115,204,"1001806"
"Matias Carrillo","MEX","AAA","43-46",799,0.30586371,1.25373134,0.20526316,0.44210526,0.35263158,0.30597015,0.07462687,0.55927835,0.18298969,0.25773196,0.06364209,612,975,1587,"1001993"
"Aramis Ramirez","CHC","A","31-36",23,0.4,0.66666667,0.33333333,0.26666667,0.4,0.16666667,0,0.46666667,0.13333333,0.4,0.07692308,23,29,52,"1002"
"Pedro Castellano","MEX","AAA","36-43",2696,0.34637159,1.03846154,0.19987923,0.4076087,0.39251208,0.19846154,0.10153846,0.41854935,0.24970273,0.33174792,0.08961735,3171,4852,8023,"1002056"
"Mike Minor","ATL","AA,AAA","22-26",32,0.23076923,4,0.16666667,0.66666667,0.16666667,0.5,0,0.2,0.33333333,0.46666667,0.14678899,29,80,109,"10021"
"Chris Clapinski","KCR","AAA","34-34",80,0.2037037,,,,,,,,,,,,,,"1002257"
"Edgard Clemente","MEX","AAA","31-36",606,0.34300792,1.08441558,0.19143577,0.42065491,0.38790932,0.2012987,0.17532468,0.5036855,0.25798526,0.23832924,0.08218607,1019,1378,2397,"1002337"
"Michael Coleman","TBD","AA","30-30",485,0.26605505,,,,,,,,,,,,,,"1002429"
"Christian Bethancourt","ATL","A,A+,AA,AAA,R","16-30",3228,0.31262855,1.10824742,0.16700611,0.43788187,0.39511202,0.21546392,0.07731959,0.4390147,0.27612237,0.28486293,0.17459584,2493,6167,8660,"10028"
"Tike Redman","HOU","AA,AAA","29-34",1951,0.31827112,1.66066066,0.2322357,0.47920277,0.28856153,0.15615616,0.02702703,0.41126997,0.25063078,0.33809924,0.03118779,2467,3561,6028,"1003"
"Chris Owings","ARI","A,A+,AA,AAA,R","17-31",3029,0.34772066,1.0742515,0.17484516,0.42734636,0.39780848,0.16646707,0.1005988,0.41929499,0.26437848,0.31632653,0.16750977,2550,6148,8698,"10030"
"Alex Delgado","MEX","AAA","35-35",72,0.30357143,,,,,,,,,,,,,,"1003170"
"Eddy Diaz","MEX","AAA","34-34",452,0.3,,,,,,,,,,,,,,"1003265"
"Edwin Diaz","MEX","AAA","32-32",249,0.335,1.04651163,0.13300493,0.44334975,0.42364532,0.25581395,0.08139535,0.51207729,0.26086957,0.22705314,0.07086614,272,490,762,"1003266"
"Tom Evans","MEX","AAA","31-31",444,0.29850746,,,,,,,,,,,,,,"1003871"
"Keyvius Sampson","SDP","AA,AAA","21-26",86,0.18604651,3.375,0.16666667,0.64285714,0.19047619,0,0,0.37777778,0.11111111,0.51111111,0.10963455,87,214,301,"10039"
"Jose Fernandez","MEX","AAA","35-38",355,0.35338346,1.13592233,0.21428571,0.41785714,0.36785714,0.22330097,0.16504854,0.44014085,0.28873239,0.27112676,0.06275141,520,723,1243,"1003998"
"Pokey Reese","WSN","A,AAA,R","35-35",108,0.21518987,1.37037037,0.16883117,0.48051948,0.35064935,0.18518519,0.03703704,0.39506173,0.2962963,0.30864198,0.08383234,104,230,334,"1004"
"Guillermo Garcia","MEX","AAA","34-34",85,0.22413793,,,,,,,,,,,,,,"1004501"
"Wil Myers","KCR","A,A+,AA,AAA,R","18-32",2113,0.34511914,0.9664903,0.17833456,0.40383198,0.41783346,0.21164021,0.15696649,0.5215208,0.23529412,0.24318508,0.11807958,2695,4241,6936,"10047"
"Grant Green","OAK","A+,AA,AAA","21-30",3566,0.35363985,1.60050891,0.21715818,0.48180774,0.30103409,0.12849873,0.09287532,0.44762259,0.24442793,0.30794948,0.11675525,3784,7693,11477,"10053"
"Jed Hansen","SFG","AAA","33-33",408,0.27972028,,,,,,,,,,,,,,"1005327"
"Alex White","CLE","AA,AAA","21-26",19,0.25,2.33333333,0.16666667,0.58333333,0.25,0,0,0.33333333,0.33333333,0.33333333,0.05714286,25,45,70,"10054"
"Tyler Matzek","COL","AA,AAA","22-28",33,0.27777778,3,0.05882353,0.70588235,0.23529412,0,0.25,0.18181818,0.45454545,0.36363636,0.11926606,29,80,109,"10058"
"Max Stassi","OAK","A,A-,A+,AA,AAA,R","18-31",2701,0.30246542,1.22620905,0.16647196,0.45911215,0.37441589,0.1575663,0.1450858,0.49263039,0.25170068,0.25566893,0.1786066,2714,5410,8124,"10059"
"Brooks Raley","CHC","AA,AAA","23-25",94,0.30188679,5.57142857,0.0212766,0.82978723,0.14893617,0.42857143,0,0.16393443,0.24590164,0.59016393,0.07258065,121,251,372,"10061"
"Robin Jennings","WSN","AA,AAA","35-35",197,0.27702703,0.953125,0.15540541,0.41216216,0.43243243,0.296875,0.109375,0.46753247,0.23376623,0.2987013,0.11229947,188,373,561,"1006397"
"Johnny Hellweg","MIL","AA,AAA","23-29",47,0.29166667,2.5,0.08695652,0.65217391,0.26086957,0.16666667,0,0.21428571,0.25,0.53571429,0.2,25,115,140,"10065"
"Tomas Telis","TEX","A,A-,A+,AA,AAA,R","17-31",4852,0.31624148,1.9307554,0.17556286,0.5431318,0.28130534,0.1618705,0.06564748,0.41257707,0.24414303,0.3432799,0.08584653,4424,9403,13827,"10067"
"Jonathan Villar","PHI","A,A-,A+,AA,AAA,R","17-31",3036,0.34819989,1.89579525,0.14930183,0.55692803,0.29377014,0.17915905,0.09872029,0.40932377,0.28739754,0.30327869,0.17480775,3174,6059,9233,"10071"
"Steve Lomasney","MIN","AA,AAA","28-28",162,0.27272727,,,,,,,,,,,,,,"1007717"
"Manny Martinez","MEX","AAA","35-37",1313,0.34224599,1.16363636,0.2183908,0.42036125,0.36124795,0.31818182,0.05454545,0.44816587,0.23125997,0.32057416,0.06461988,1368,2052,3420,"1008182"
"Pascual Matos","CHW","AAA","31-31",189,0.20567376,,,,,,,,,,,,,,"1008248"
"Keith McDonald","NYY","AAA","33-33",39,0.40909091,,,,,,,,,,,,,,"1008467"
"Roberto Mejia","MEX","AAA","34-35",326,0.28512397,1.88,0.14285714,0.55952381,0.29761905,0.36,0.08,0.48809524,0.25,0.26190476,0.11486486,166,278,444,"1008741"
"Juan Melo","SFG","AA,AAA","29-30",630,0.28510638,1.86666667,0.1835443,0.53164557,0.28481013,0.13333333,0.08888889,0.55757576,0.2,0.24242424,0.15820896,83,252,335,"1008752"
"Noe Munoz","MEX","AAA","35-43",2426,0.33987661,2.1800554,0.2201087,0.53464674,0.24524457,0.23268698,0.08864266,0.42659645,0.22317314,0.35023041,0.07599451,2989,4411,7290,"1009329"
"Melvin Nieves","MEX","AAA","34-36",325,0.37593985,2,0.14285714,0.57142857,0.28571429,0,0,0.42857143,0,0.57142857,0.19444444,41,67,108,"1009595"
"Jon Nunnally","MEX","AAA","34-34",80,0.2244898,,,,,,,,,,,,,,"1009660"
