Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Kerry Ligtenberg","CHC","AAA","35-35",58,0.29946524,,,,,,,,,,,,,,"100"
"Tavo Alvarez","MEX","AAA","34-34",53,0.33333333,,,,,,,,,,,,,,"1000200"
"John Barnes","BOS","A,A+,AA,AAA,R","30-31",187.1,0.26061776,1.52040816,0.09191176,0.54779412,0.36029412,0.20408163,0.12244898,0.4519573,0.23843416,0.30960854,0.19395018,484,640,1124,"1000567"
"Matt Blank","SDP","AA,AAA","30-30",80.2,0.30980392,,,,,,,,,,,,,,"1001053"
"Steve Bourgeois","MEX","AAA","33-34",142.2,0.33481153,2.5,0.08196721,0.6557377,0.26229508,0.1875,0.125,0.64516129,0.14516129,0.20967742,0.09698997,136,163,299,"1001237"
"Brad Clontz","FLA","AAA","35-35",58,0.31952663,,,,,,,,,,,,,,"1002360"
"Lance Davis","DET","A+,AA,AAA","29-29",108.2,0.32625995,,,,,,,,,,,,,,"1003065"
"Eddie Gaillard","FLA","AAA","35-35",25.1,0.32467532,,,,,,,,,,,,,,"1004431"
"Taylor Thompson","CHW","A,A+,AA,AAA,R","22-28",296,0.28589421,1.19736842,0.1313394,0.473342,0.3953186,0.23355263,0.03618421,0.43656716,0.25124378,0.31218905,0.19500403,1248,2475,3723,"10019"
"Mike Minor","ATL","A,AA,AAA","21-34",317.1,0.29542645,1.01501502,0.1797066,0.41320293,0.40709046,0.21921922,0.12012012,0.43042453,0.25589623,0.31367925,0.12331839,1692,3214,4906,"10021"
"Francisco Cordova","MEX","AAA","34-39",392,0.32024169,1.28169014,0.16235781,0.4705274,0.36711479,0.1971831,0.06760563,0.45619335,0.23363545,0.3101712,0.07493382,2032,2879,4911,"1002623"
"Christian Bethancourt","SDP","AAA","25-29",43.2,0.29452055,0.828125,0.23026316,0.34868421,0.42105263,0.203125,0.125,0.42207792,0.24025974,0.33766234,0.07524272,364,460,824,"10028"
"Mike Garcia","CHC","AAA","38-38",37,0.33333333,,,,,,,,,,,,,,"1004507"
"Denny Harriger","MEX","AAA","36-36",11.2,0.46808511,,,,,,,,,,,,,,"1005409"
"Junior Herndon","KCR","AA","27-27",160,0.32472325,,,,,,,,,,,,,,"1005716"
"Patrick Schuster","ARI","A,A+,AA,AAA,R","18-26",504.2,0.29880197,1.56732892,0.16869192,0.50750536,0.32380272,0.18984547,0.06622517,0.42501728,0.25431928,0.32066344,0.16255181,1819,3730,5549,"10029"
"Narciso Elvira","MEX","AAA","38-41",93.2,0.32154341,1.6,0.23529412,0.47058824,0.29411765,0,0,0.38888889,0.38888889,0.22222222,0.05617978,33,56,89,"1003760"
"Horacio Estrada","MEX","AAA","32-33",90,0.31879195,1.43434343,0.19127517,0.47651007,0.33221477,0.17171717,0.08080808,0.46405229,0.23202614,0.30392157,0.0664311,532,883,1415,"1003843"
"Keyvius Sampson","SDP","A,A-,AA,AAA,R","18-30",773,0.28726021,1.05438813,0.18489456,0.41834232,0.39676312,0.19901112,0.09147095,0.40380952,0.25190476,0.34428571,0.13431199,4460,7393,11853,"10039"
"Kevin Tolar","MEX","AAA","35-35",16.2,0.42857143,,,,,,,,,,,,,,"1009"
"Angel Moreno","MEX","AAA","51-51",18,0.39705882,,,,,,,,,,,,,,"1009163"
"Brian O'Connor","ATL","AAA","29-29",148.2,0.3095723,,,,,,,,,,,,,,"1009709"
"Ashur Tolliver","BAL","A,A-,A+,AA,AAA,R","21-29",327.2,0.31195652,1.10481586,0.18441273,0.42810099,0.38748628,0.21813031,0.05949008,0.37206823,0.24307036,0.38486141,0.16372796,1453,2914,4367,"10044"
"Chris Fussell","LAD","AAA","31-31",38,0.32142857,1.28947368,0.25,0.42241379,0.32758621,0.23684211,0.13157895,0.50847458,0.20338983,0.28813559,0.10866373,290,391,681,"1004410"
"Chris Dwyer","KCR","A+,AA,AAA,R","21-27",705.2,0.29761325,0.90394877,0.13733075,0.40957447,0.45309478,0.17716115,0.07470651,0.45737164,0.25200188,0.29062647,0.10126582,4338,6722,11060,"10045"
"Al Reyes","TBD","A+,AA,AAA","36-41",15.2,0.30434783,0.7,0.15,0.35,0.5,0.35,0.15,0.36585366,0.26829268,0.36585366,0.25,16,80,96,"1005"
"Matt Skrmetta","CHW","AAA","33-33",19.2,0.4,,,,,,,,,,,,,,"1012044"
"Kevin Jarvis","ARI","AAA","36-36",83.2,0.26848249,,,,,,,,,,,,,,"1037"
"Ryan Jensen","TEX","AA,R","30-30",52,0.32954545,,,,,,,,,,,,,,"1117"
"Steve Green","DET","AAA","28-31",198.1,0.31978799,1.5511811,0.18796992,0.49373434,0.31829574,0.18897638,0.08661417,0.40786241,0.22358722,0.36855037,0.07733744,1076,1523,2599,"1005012"
"Alex White","CLE","A+,AA,AAA","21-26",398.1,0.27805281,1.4188862,0.16541353,0.48955723,0.34502924,0.18644068,0.07748184,0.46376812,0.24879227,0.28743961,0.13425565,1775,3357,5132,"10054"
"Tyler Matzek","COL","A,A-,A+,AA,AAA","19-31",595,0.30477964,1.0784,0.18659987,0.42204133,0.3913588,0.2048,0.072,0.39975772,0.25015142,0.35009085,0.15707797,3111,4815,7926,"10058"
"Brooks Raley","CHC","A-,A+,AA,AAA,R","21-35",595,0.31751825,1.2394775,0.18532207,0.45089757,0.36378036,0.19738752,0.07402032,0.43670564,0.25775292,0.30554143,0.10661995,2816,5175,7991,"10061"
"Felix Rodriguez","WSN","A+,AAA","33-33",11.1,0.35,,,,,,,,,,,,,,"1127"
"Steve Kent","HOU","AA,AAA","27-27",41.1,0.2919708,,,,,,,,,,,,,,"1218"
"Bobby Seay","DET","AAA","28-28",24.2,0.28571429,,,,,,,,,,,,,,"1225"
"Johnny Hellweg","LAA","A,A+,AA,AAA,R","19-29",595.2,0.29004854,1.9483871,0.15474723,0.55856967,0.28668311,0.23870968,0.06451613,0.43914081,0.21479714,0.34606205,0.12762217,3460,5073,8533,"10065"
"Ian Krol","OAK","A,A-,A+,AA,AAA,R","18-31",484.1,0.30947054,1.29263158,0.18731343,0.45820896,0.35447761,0.22526316,0.08631579,0.413343,0.2617839,0.3248731,0.16600199,1916,4102,6018,"10066"
"Scott Sauerbeck","OAK","A+,AAA","34-36",78.2,0.35242291,1.60606061,0.19248826,0.49765258,0.30985915,0.27272727,0.04545455,0.47297297,0.22522523,0.3018018,0.09351988,558,800,1358,"1007"
"Caleb Cotham","NYY","A,A-,A+,AA,AAA,R","21-28",368.2,0.32065217,1.66272189,0.18256131,0.51044505,0.30699364,0.17159763,0.0739645,0.43666962,0.22054916,0.34278122,0.12487351,1611,3330,4941,"10075"
"Paul Wilson","CIN","A,A+,AAA","33-33",24,0.30208333,,,,,,,,,,,,,,"1234"
"Brian Cooper","SFG","AAA","31-31",123.1,0.2997543,,,,,,,,,,,,,,"1295"
"Scott Erickson","NYY","AAA","38-38",17,0.18867925,,,,,,,,,,,,,,"137"
"Caleb Thielbar","MIL","A,A+,AA,AAA,R","22-36",410.2,0.30008525,0.9874739,0.17145344,0.41166232,0.41688425,0.22338205,0.05845511,0.43926789,0.23710483,0.32362729,0.15071723,1563,3526,5089,"10078"
"Keith Butler","STL","A,A-,A+,AA,AAA,R","20-26",267,0.28658537,0.85069444,0.1812596,0.37634409,0.44239631,0.21875,0.0625,0.46656761,0.23625557,0.29717682,0.19002031,1131,2316,3447,"10080"
"Isidro Marquez","MEX","AAA","41-46",276.1,0.3217012,2.13636364,0.17748344,0.5602649,0.26225166,0.23232323,0.09090909,0.4955414,0.24968153,0.25477707,0.08471761,1320,2292,3612,"1008120"
"Alan Mills","DET","AA","40-40",29,0.24691358,1,0.23684211,0.38157895,0.38157895,0.13793103,0.03448276,0.45454545,0.28571429,0.25974026,0.27717391,47,137,184,"1008949"
"Bobby Jones","DET","AA","34-34",80.1,0.29535865,,,,,,,,,,,,,,"1454"
"Aaron Small","NYY","AAA","34-34",41.2,0.36809816,,,,,,,,,,,,,,"1477"
"Calvin Maduro","BAL","AA","31-31",38,0.32291667,,,,,,,,,,,,,,"151"
"Hisanori Takahashi","LAA","AAA","37-38",54,0.33103448,0.77272727,0.19310345,0.35172414,0.45517241,0.15151515,0.07575758,0.43333333,0.21333333,0.35333333,0.13897937,345,576,921,"10091"
"Dane De La Rosa","MIL","A+,AA,AAA,R","24-32",260,0.28769231,1.32599119,0.17757009,0.46884735,0.35358255,0.21585903,0.07929515,0.41415663,0.22891566,0.35692771,0.12996977,1617,2684,4301,"10095"
"Ron Villone","NYY","AAA","37-40",73.2,0.30593607,1.19277108,0.15740741,0.45833333,0.38425926,0.15662651,0.09638554,0.43555556,0.25333333,0.31111111,0.08413284,564,791,1355,"1010"
"Chris Piersoll","BAL","AAA","28-29",85.1,0.31274131,1.26086957,0.1875,0.453125,0.359375,0.30434783,0.13043478,0.4375,0.328125,0.234375,0.07467532,131,177,308,"1010337"
"Jason Pearson","BAL","AA","30-30",65.2,0.2752809,,,,,,,,,,,,,,"1512"
"John Riedling","STL","AAA","30-30",18.2,0.37878788,,,,,,,,,,,,,,"1515"
"Mark Watson","OAK","AAA","32-32",43,0.3129771,,,,,,,,,,,,,,"1526"
"Jeremy Powell","PIT","AAA","33-34",233,0.29934641,1.09830508,0.1887287,0.42463958,0.38663172,0.21355932,0.08135593,0.47395172,0.26175349,0.26429479,0.07343533,1255,2340,3595,"1010490"
"Roberto Ramirez","MEX","AAA","33-40",790,0.35606354,1.94934641,0.15337711,0.55956848,0.28705441,0.12908497,0.10294118,0.46546275,0.2717833,0.26275395,0.08549794,3749,6684,10433,"1010674"
"Ryan Vogelsong","PIT","A+,AA,AAA,R","28-38",222,0.2984127,1.17880795,0.2240566,0.41981132,0.35613208,0.26490066,0.09933775,0.45558087,0.2118451,0.33257403,0.08410522,1048,1651,2699,"1011"
"Luis Rivera","MEX","AAA","28-32",315.1,0.31969553,2.13809524,0.19041769,0.55159705,0.25798526,0.25714286,0.12380952,0.53973903,0.20521945,0.25504152,0.07600561,1818,2458,4276,"1011004"
"Kevin Frederick","BOS","AA","29-29",11,0.3125,,,,,,,,,,,,,,"1536"
"Pete Munro","MIN","AAA","31-31",162.1,0.31926606,,,,,,,,,,,,,,"1546"
"John Stephens","BAL","AA,AAA","26-26",86.1,0.32142857,,,,,,,,,,,,,,"1569"
"Kip Wells","PIT","A+,AA,AAA","29-36",144,0.32327586,2.07894737,0.17798595,0.55503513,0.26697892,0.14912281,0.13157895,0.496614,0.22799097,0.27539503,0.0855792,857,1258,2115,"1012"
"Kyle Gibson","MIN","A+,AA,AAA,R","22-29",410,0.30442177,2.22372881,0.18648417,0.56116339,0.25235244,0.20677966,0.09152542,0.51747088,0.218802,0.26372712,0.16722672,1696,3363,5059,"10123"
"Dave Williams","NYM","A+,AA,AAA,R","27-30",163,0.28712871,0.92682927,0.15733333,0.40533333,0.43733333,0.23170732,0.11585366,0.49357326,0.25192802,0.25449871,0.11034483,522,1073,1595,"1013"
"Stephen Strasburg","WSN","A,A+,AA,AAA","21-33",122.1,0.24738676,2.11842105,0.14440433,0.58122744,0.27436823,0.22368421,0.03947368,0.46206897,0.17931034,0.35862069,0.18145957,482,1039,1521,"10131"
