Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.326,96,0.288,0.156,3.1%,18.2%,7.3%,17.2%,43.8%,30.6%,0.8,28.0%,54.6%,17.3%,-2.3,-1.8%,-25.5,29%,76%,42%
Boston Red Sox,0.358,116,0.314,0.181,3.2%,17.3%,9.0%,18.0%,43.2%,31.0%,0.77,29.1%,54.0%,16.8%,5.8,4.0%,137.2,33%,71%,39%
Chicago White Sox,0.317,87,0.28,0.136,2.5%,16.1%,7.7%,18.8%,42.6%,27.3%,0.78,30.2%,52.8%,17.1%,-10.1,-5.1%,-92.7,27%,60%,37%
Cleveland Indians,0.318,99,0.297,0.146,2.5%,20.7%,8.0%,18.8%,44.8%,27.7%,0.83,27.9%,58.0%,14.1%,-1.8,-4.2%,2.0,30%,68%,41%
Detroit Tigers,0.344,110,0.318,0.157,2.7%,18.3%,8.4%,19.8%,40.7%,30.2%,0.71,28.6%,53.4%,18.0%,7.0,3.7%,71.0,31%,71%,36%
Kansas City Royals,0.334,104,0.311,0.14,2.1%,16.1%,7.1%,17.9%,44.7%,27.7%,0.84,25.4%,57.9%,16.7%,-3.5,-1.4%,7.7,31%,73%,38%
Los Angeles Angels of Anaheim,0.322,103,0.288,0.149,2.6%,17.8%,7.3%,15.7%,43.4%,29.4%,0.81,27.3%,57.0%,15.8%,-3.2,-3.8%,-24.6,29%,72%,48%
Minnesota Twins,0.304,83,0.288,0.113,1.7%,17.4%,7.3%,15.5%,47.7%,26.6%,0.95,26.3%,56.6%,17.1%,-8.8,-2.4%,-90.9,29%,70%,44%
New York Yankees,0.352,110,0.292,0.181,3.5%,18.1%,9.9%,17.7%,45.6%,27.6%,0.87,31.2%,52.4%,16.4%,5.1,3.7%,130.2,33%,76%,38%
Oakland Athletics,0.311,88,0.283,0.125,1.9%,17.9%,8.3%,19.8%,40.9%,29.0%,0.71,28.5%,53.7%,17.9%,-11.6,-5.6%,-68.2,30%,73%,38%
Seattle Mariners,0.292,83,0.283,0.115,1.8%,21.4%,7.3%,18.0%,45.2%,27.3%,0.85,26.6%,55.9%,17.5%,-12.6,-5.1%,-127.0,27%,76%,41%
Tampa Bay Rays,0.328,107,0.281,0.159,2.8%,19.4%,9.3%,17.3%,42.9%,29.8%,0.78,29.9%,54.2%,15.9%,3.7,4.4%,10.8,30%,71%,43%
Texas Rangers,0.358,112,0.304,0.177,3.4%,14.9%,7.6%,18.4%,44.7%,28.8%,0.84,25.7%,56.9%,17.4%,8.2,7.4%,120.7,34%,76%,44%
Toronto Blue Jays,0.328,96,0.283,0.164,3.0%,19.1%,8.5%,17.6%,41.1%,29.3%,0.72,31.5%,52.9%,15.6%,0.7,-1.2%,1.9,31%,72%,43%
League Average,0.328,100,0.294,0.15,2.6%,18.0%,8.1%,17.9%,43.7%,28.7%,0.8,28.3%,55.0%,16.7%,-2.0,-1%,4.0,30%,72%,41%
,0.328,100,0.294,0.15,2.6%,18.0%,8.1%,17.9%,43.7%,28.7%,0.8,28.3%,55.0%,16.7%,-23.4,-7.2%,52.7,30%,72%,41%
