Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.326,100,0.306,0.175,3.8%,23.0%,6.4%,88.6,41.1%,25.7%,43.9%,21.6%,0.79,29.3%,52.7%,18.0%,-2.1,-0.1%,-11.1,30%,71%,37%
Boston Red Sox,0.326,91,0.3,0.149,2.7%,19.3%,9.0%,87.4,36.1%,25.1%,45.4%,20.8%,0.84,27.2%,53.9%,18.9%,-2.4,-1.4%,-6.1,32%,77%,43%
Chicago White Sox,0.322,97,0.309,0.161,3.1%,23.1%,6.6%,87.1,36.6%,24.4%,46.8%,20.6%,0.91,27.9%,52.5%,19.7%,-6.7,-2.1%,-42.8,30%,70%,39%
Cleveland Indians,0.344,103,0.295,0.186,3.4%,18.5%,9.7%,88.3,39.5%,25.5%,42.9%,23.1%,0.77,31.6%,51.8%,16.6%,-1.3,-2.9%,48.4,31%,79%,38%
Detroit Tigers,0.328,98,0.306,0.166,3.0%,21.4%,8.2%,87.7,39.0%,27.7%,42.8%,22.8%,0.75,26.7%,52.1%,21.2%,-6.5,-0.6%,-28.2,30%,66%,37%
Houston Astros,0.357,126,0.309,0.196,3.8%,17.3%,8.1%,88.4,39.3%,24.8%,43.8%,23.0%,0.79,29.1%,53.4%,17.5%,13.6,5.5%,166.7,34%,70%,39%
Kansas City Royals,0.321,91,0.295,0.16,3.2%,19.4%,6.5%,87.8,36.6%,27.6%,41.1%,22.4%,0.71,27.5%,53.3%,19.2%,-2.6,-0.8%,-58.0,30%,75%,40%
Los Angeles Angels,0.316,92,0.277,0.155,3.1%,19.7%,8.6%,87.1,35.8%,23.3%,46.3%,22.5%,0.88,29.7%,53.0%,17.3%,-1.1,-1.8%,-32.0,30%,76%,42%
Minnesota Twins,0.337,104,0.306,0.174,3.3%,21.4%,9.5%,87.7,37.0%,25.6%,41.3%,23.5%,0.73,31.4%,50.8%,17.8%,5.2,3.6%,60.2,32%,77%,42%
New York Yankees,0.348,108,0.304,0.185,3.8%,21.8%,9.7%,87.8,37.0%,25.1%,43.0%,23.2%,0.77,30.1%,52.3%,17.6%,2.7,2.1%,88.9,32%,80%,39%
Oakland Athletics,0.33,105,0.294,0.19,3.8%,24.3%,9.2%,88.7,40.1%,27.2%,38.3%,25.8%,0.63,28.5%,52.5%,19.0%,4.9,-1.0%,3.4,29%,72%,35%
Seattle Mariners,0.328,103,0.3,0.165,3.2%,20.6%,7.9%,88.2,38.4%,24.9%,44.0%,22.7%,0.8,28.4%,54.1%,17.6%,1.2,-0.3%,9.5,30%,72%,37%
Tampa Bay Rays,0.321,98,0.296,0.178,3.7%,25.0%,8.9%,87.5,38.5%,23.9%,43.1%,23.5%,0.78,29.7%,52.3%,17.9%,-5.3,-3.5%,-53.9,27%,72%,40%
Texas Rangers,0.329,90,0.291,0.186,3.9%,24.4%,8.9%,88.0,39.0%,23.5%,43.1%,24.1%,0.78,32.3%,51.7%,16.1%,-1.6,-1.1%,12.9,32%,72%,44%
Toronto Blue Jays,0.318,90,0.276,0.172,3.6%,21.6%,8.8%,87.6,38.0%,23.7%,43.7%,23.5%,0.79,28.0%,54.0%,17.9%,-7.9,-2.5%,-83.8,27%,69%,35%
League Average,0.33,100,0.298,0.173,3.4%,21.4%,8.4%,87.9,38.1%,25.2%,43.3%,22.8%,0.78,29.1%,52.7%,18.1%,-1.0,-0%,5.0,30%,74%,39%
,0.33,100,0.298,0.173,3.4%,21.4%,8.4%,87.9,38.1%,25.2%,43.3%,22.8%,0.78,29.1%,52.7%,18.1%,-9.7,-6.9%,74.1,30%,74%,39%
