Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.33,102,0.309,0.171,3.4%,22.9%,7.3%,85.6,33.7%,29.0%,40.5%,18.8%,0.71,31.0%,52.0%,17.0%,-3.5,-1.9%,-15.4,30%,58%,39%
Boston Red Sox,0.34,103,0.321,0.18,3.5%,23.7%,8.1%,88.3,36.9%,27.6%,44.8%,21.4%,0.82,28.4%,55.9%,15.7%,-0.6,-1.3%,-5.1,31%,78%,42%
Chicago White Sox,0.342,112,0.314,0.192,4.2%,25.2%,7.9%,88.6,40.3%,28.4%,45.8%,18.3%,0.85,26.6%,54.5%,18.9%,1.6,1.4%,22.8,32%,71%,43%
Cleveland Indians,0.308,87,0.277,0.144,2.6%,23.0%,10.6%,87.4,35.9%,27.4%,43.8%,19.3%,0.8,30.7%,50.8%,18.5%,-4.3,-2.7%,-41.7,28%,71%,40%
Detroit Tigers,0.31,89,0.314,0.152,3.0%,27.3%,7.1%,88.4,39.7%,29.6%,43.6%,18.9%,0.78,27.6%,54.5%,17.8%,-2.1,-0.1%,-20.6,32%,76%,42%
Houston Astros,0.32,95,0.273,0.168,3.1%,19.7%,8.6%,87.8,35.3%,28.5%,40.7%,21.8%,0.7,32.7%,52.3%,15.1%,-2.1,-1.3%,-11.3,33%,67%,40%
Kansas City Royals,0.317,90,0.297,0.158,3.1%,24.0%,7.8%,85.9,34.1%,29.1%,42.7%,18.5%,0.78,29.7%,55.0%,15.3%,-6.1,-3.1%,-37.4,29%,71%,48%
Los Angeles Angels,0.335,106,0.284,0.182,3.7%,21.2%,10.4%,88.7,37.2%,28.2%,42.4%,20.8%,0.74,31.0%,51.6%,17.4%,-0.9,-1.2%,4.4,30%,72%,41%
Minnesota Twins,0.324,102,0.283,0.186,4.2%,24.4%,8.6%,88.8,39.9%,28.4%,39.2%,23.6%,0.65,31.5%,49.7%,18.8%,-0.3,0.3%,-2.7,29%,67%,43%
New York Yankees,0.349,120,0.28,0.2,4.3%,21.7%,11.4%,88.8,39.5%,29.1%,44.1%,19.9%,0.8,28.8%,54.0%,17.2%,2.0,1.8%,46.6,33%,79%,42%
Oakland Athletics,0.321,101,0.271,0.171,3.2%,23.8%,10.8%,88.8,37.4%,28.7%,37.6%,23.5%,0.61,31.5%,51.7%,16.8%,-0.5,0.0%,1.8,31%,90%,48%
Seattle Mariners,0.306,91,0.281,0.144,2.8%,25.0%,9.5%,87.5,36.5%,26.8%,43.7%,20.7%,0.78,27.3%,54.8%,18.0%,-1.4,-1.0%,-18.8,31%,76%,50%
Tampa Bay Rays,0.334,111,0.3,0.187,3.5%,26.9%,10.8%,88.6,39.4%,28.0%,43.7%,20.3%,0.78,32.1%,51.9%,16.0%,2.6,1.7%,14.9,31%,84%,51%
Texas Rangers,0.291,77,0.266,0.147,2.9%,25.5%,7.8%,88.0,37.4%,25.3%,44.0%,20.9%,0.8,28.2%,54.7%,17.1%,-4.4,-1.7%,-55.4,29%,78%,43%
Toronto Blue Jays,0.341,110,0.297,0.186,3.9%,22.5%,9.0%,89.0,42.3%,28.0%,43.3%,21.4%,0.78,29.8%,52.0%,18.2%,1.0,0.5%,15.2,33%,85%,35%
League Average,0.325,100,0.291,0.171,3.4%,23.8%,9.1%,88.0,37.7%,28.1%,42.7%,20.5%,0.76,29.8%,53.0%,17.2%,-1.0,-1%,-7.0,31%,75%,43%
,0.325,100,0.291,0.171,3.4%,23.8%,9.1%,88.0,37.7%,28.1%,42.7%,20.5%,0.76,29.8%,53.0%,17.2%,-19.2,-8.7%,-102.6,31%,75%,43%
