Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.309,94,0.272,0.155,2.9%,22.3%,8.8%,87.1,36.0%,21.8%,43.9%,25.7%,0.81,32.7%,50.4%,16.9%,-1.9,-1.0%,-8.4,32%,78%,49%
Atlanta Braves,0.334,108,0.303,0.19,4.0%,24.6%,7.7%,89.8,43.6%,23.0%,42.2%,27.6%,0.73,30.5%,52.9%,16.6%,6.4,3.7%,72.3,32%,74%,50%
Chicago Cubs,0.314,94,0.294,0.148,2.6%,23.9%,8.4%,87.8,37.7%,23.2%,45.8%,23.6%,0.86,28.9%,51.3%,19.7%,-11.4,-2.3%,-76.8,29%,75%,44%
Cincinnati Reds,0.302,83,0.29,0.137,2.6%,23.9%,7.6%,86.8,35.0%,23.7%,43.3%,24.8%,0.78,30.2%,51.3%,18.5%,-14.4,-2.0%,-98.8,29%,64%,39%
Colorado Rockies,0.318,90,0.307,0.144,2.4%,21.8%,7.4%,87.4,37.0%,24.5%,46.4%,23.3%,0.88,26.5%,54.2%,19.3%,-7.1,-0.4%,-61.0,30%,69%,43%
Los Angeles Dodgers,0.344,115,0.302,0.185,3.4%,22.0%,9.7%,89.3,42.0%,24.9%,37.1%,31.6%,0.59,32.0%,50.5%,17.5%,11.0,4.0%,119.9,34%,84%,40%
Miami Marlins,0.299,85,0.284,0.133,2.4%,24.0%,7.3%,87.9,37.4%,23.6%,44.5%,25.5%,0.81,27.3%,53.4%,19.3%,-12.4,-2.4%,-130.2,27%,81%,38%
Milwaukee Brewers,0.322,102,0.279,0.174,3.6%,23.9%,9.4%,88.7,39.9%,22.7%,42.0%,27.9%,0.73,30.2%,52.7%,17.1%,1.4,-0.6%,9.0,29%,76%,40%
New York Mets,0.331,113,0.302,0.153,2.8%,19.7%,8.3%,87.7,37.2%,24.2%,43.9%,24.6%,0.8,28.8%,52.3%,18.9%,7.2,4.3%,82.7,31%,74%,38%
Philadelphia Phillies,0.329,108,0.299,0.169,3.4%,22.4%,7.9%,88.9,41.3%,23.7%,42.8%,25.7%,0.76,28.2%,51.7%,20.2%,3.4,0.7%,41.6,31%,79%,39%
Pittsburgh Pirates,0.295,84,0.277,0.141,2.7%,25.3%,8.1%,87.6,37.5%,23.1%,44.0%,25.1%,0.8,30.5%,52.0%,17.6%,-11.4,-2.0%,-119.9,27%,74%,42%
San Diego Padres,0.314,104,0.289,0.141,2.5%,21.5%,9.3%,87.8,37.9%,23.5%,42.6%,25.5%,0.76,30.4%,50.9%,18.7%,-1.0,0.5%,11.9,30%,69%,44%
San Francisco Giants,0.316,100,0.284,0.156,3.0%,23.9%,9.3%,87.6,37.8%,22.7%,39.9%,28.4%,0.68,30.9%,50.9%,18.2%,-2.0,-1.2%,1.2,30%,80%,36%
St. Louis Cardinals,0.332,113,0.289,0.168,3.2%,19.9%,8.7%,87.9,37.5%,23.3%,41.4%,26.3%,0.71,30.4%,51.9%,17.6%,2.4,0.6%,77.9,31%,79%,46%
Washington Nationals,0.308,98,0.295,0.129,2.3%,20.4%,7.4%,86.7,35.7%,24.0%,45.7%,22.1%,0.87,30.1%,51.3%,18.6%,-9.6,-1.2%,-90.4,27%,71%,37%
League Average,0.318,100,0.291,0.155,2.9%,22.6%,8.4%,87.9,38.2%,23.5%,43.0%,25.8%,0.77,29.8%,51.8%,18.3%,-3.0,0%,-11.0,30%,76%,42%
,0.318,100,0.291,0.155,2.9%,22.6%,8.4%,87.9,38.2%,23.5%,43.0%,25.8%,0.77,29.8%,51.8%,18.3%,-39.5,0.9%,-169.0,30%,76%,42%
