Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Anaheim Angels,0.329,95,0.291,0.144,2.5%,13.7%,7.8%,19.8%,41.1%,28.0%,0.73,30.1%,49.3%,20.6%,-4.1,-0.7%,-32.5,31%,68%,43%
Baltimore Orioles,0.328,93,0.293,0.138,2.4%,14.5%,6.9%,18.4%,42.8%,28.6%,0.77,31.8%,48.3%,19.9%,-6.5,0.0%,-44.9,31%,71%,43%
Boston Red Sox,0.372,118,0.307,0.202,3.6%,14.4%,9.5%,17.0%,38.6%,34.1%,0.64,31.7%,47.4%,21.0%,13.5,14.0%,160.0,33%,72%,39%
Chicago White Sox,0.344,101,0.279,0.182,3.6%,14.9%,8.4%,18.3%,39.7%,30.0%,0.68,32.8%,48.2%,19.0%,-3.1,-2.8%,8.2,31%,73%,39%
Cleveland Indians,0.322,93,0.286,0.148,2.6%,17.2%,7.5%,17.7%,44.0%,28.2%,0.82,30.3%,49.9%,19.7%,-10.2,-2.2%,-86.0,30%,59%,45%
Detroit Tigers,0.302,82,0.272,0.135,2.5%,18.1%,7.3%,16.6%,44.3%,27.9%,0.87,31.3%,48.5%,20.2%,-22.7,-2.7%,-188.9,26%,61%,41%
Kansas City Royals,0.344,96,0.301,0.153,2.6%,14.8%,7.6%,18.9%,44.2%,27.3%,0.83,30.2%,49.2%,20.6%,3.4,1.6%,33.2,35%,74%,41%
Minnesota Twins,0.344,103,0.312,0.154,2.5%,16.2%,8.1%,15.7%,47.0%,28.1%,0.92,31.3%,48.7%,20.0%,2.8,2.0%,11.5,32%,68%,44%
New York Yankees,0.362,117,0.295,0.182,3.6%,16.2%,10.6%,18.0%,44.8%,28.6%,0.83,30.9%,50.4%,18.7%,9.4,6.0%,108.7,31%,75%,43%
Oakland Athletics,0.332,95,0.273,0.162,2.8%,14.5%,9.0%,19.6%,42.9%,27.9%,0.76,29.8%,50.1%,20.1%,0.6,0.8%,-1.4,32%,77%,46%
Seattle Mariners,0.339,105,0.306,0.139,2.2%,15.8%,9.3%,18.9%,45.1%,28.1%,0.85,25.7%,50.9%,23.4%,2.3,-1.0%,36.6,32%,74%,39%
Tampa Bay Devil Rays,0.324,93,0.301,0.139,2.2%,16.6%,6.8%,15.4%,46.2%,27.6%,0.9,29.5%,50.3%,20.3%,-8.6,-0.7%,-55.0,31%,77%,40%
Texas Rangers,0.348,96,0.287,0.188,3.8%,16.7%,7.8%,19.5%,39.4%,29.5%,0.66,32.7%,48.7%,18.6%,-2.0,-0.4%,6.8,31%,72%,42%
Toronto Blue Jays,0.355,108,0.313,0.175,3.0%,17.0%,8.6%,20.6%,42.1%,30.2%,0.73,28.3%,49.1%,22.6%,8.5,3.0%,105.4,34%,60%,41%
League Average,0.339,100,0.294,0.16,2.9%,15.8%,8.2%,18.2%,43.0%,28.9%,0.78,30.5%,49.2%,20.3%,-1.0,1%,4.0,32%,70%,42%
,0.339,100,0.294,0.16,2.9%,15.8%,8.2%,18.2%,43.0%,28.9%,0.78,30.5%,49.2%,20.3%,-16.7,16.7%,61.8,32%,70%,42%
