Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.343,91,0.294,0.175,3.3%,16.6%,9.3%,24.6%,38.9%,28.6%,0.66,28.5%,51.8%,19.7%,-2.9,-1.3%,28.4,31%,65%,42%
Atlanta Braves,0.328,85,0.29,0.152,2.8%,16.9%,8.0%,22.6%,44.2%,26.2%,0.82,26.3%,52.5%,21.2%,-5.9,-6.3%,-38.8,30%,65%,45%
Chicago Cubs,0.34,102,0.29,0.169,3.1%,17.3%,9.3%,23.3%,42.7%,25.8%,0.79,26.8%,52.8%,20.4%,2.8,2.0%,38.7,31%,65%,39%
Cincinnati Reds,0.333,86,0.301,0.157,2.8%,18.8%,7.5%,24.9%,41.4%,25.8%,0.73,27.8%,51.8%,20.4%,-7.1,-1.7%,-52.8,30%,66%,42%
Colorado Rockies,0.368,97,0.322,0.191,3.3%,16.1%,8.0%,26.7%,38.6%,26.2%,0.67,26.9%,53.2%,19.9%,4.4,2.3%,95.3,35%,71%,49%
Florida Marlins,0.333,95,0.303,0.159,2.7%,18.5%,7.6%,25.1%,38.8%,28.3%,0.66,29.5%,50.1%,20.4%,-2.4,-0.3%,-2.4,31%,69%,37%
Houston Astros,0.352,100,0.304,0.18,3.3%,17.7%,9.2%,26.3%,39.1%,27.2%,0.66,29.5%,51.3%,19.2%,6.1,4.3%,65.0,32%,57%,41%
Los Angeles Dodgers,0.332,99,0.279,0.17,3.3%,17.2%,8.4%,23.4%,40.6%,28.3%,0.71,28.7%,52.2%,19.1%,3.2,1.9%,26.4,31%,68%,41%
Milwaukee Brewers,0.328,91,0.299,0.175,3.4%,22.8%,7.9%,25.9%,38.8%,27.7%,0.66,28.6%,50.9%,20.5%,-6.0,-2.5%,-9.1,30%,65%,38%
Montreal Expos,0.318,79,0.291,0.143,2.2%,17.8%,7.9%,24.2%,43.7%,25.0%,0.81,27.2%,53.1%,19.7%,-9.0,-2.9%,-88.9,30%,66%,39%
New York Mets,0.319,88,0.283,0.137,2.4%,17.3%,8.9%,22.4%,42.1%,28.1%,0.76,28.3%,51.4%,20.3%,-5.2,-2.5%,-99.2,27%,58%,41%
Philadelphia Phillies,0.333,93,0.297,0.154,2.6%,18.1%,8.9%,24.4%,39.3%,28.2%,0.68,27.3%,50.6%,22.1%,2.1,-0.2%,6.4,31%,77%,39%
Pittsburgh Pirates,0.316,78,0.281,0.146,2.7%,18.4%,7.8%,22.4%,42.2%,27.4%,0.76,28.1%,51.9%,20.0%,-8.1,-1.3%,-110.2,29%,56%,47%
San Diego Padres,0.334,101,0.297,0.147,2.6%,20.3%,10.8%,26.1%,38.5%,29.6%,0.64,25.1%,51.4%,23.5%,5.8,1.5%,58.8,32%,75%,43%
San Francisco Giants,0.35,112,0.29,0.194,3.7%,17.0%,9.8%,24.2%,37.2%,30.3%,0.62,31.5%,51.3%,17.3%,3.8,3.3%,55.5,29%,58%,37%
St. Louis Cardinals,0.345,99,0.302,0.172,3.2%,17.6%,8.6%,24.5%,40.6%,27.0%,0.72,27.0%,52.8%,20.2%,3.2,3.0%,61.5,33%,72%,48%
League Average,0.336,94,0.295,0.164,3.0%,18.0%,8.6%,24.4%,40.4%,27.5%,0.71,28.0%,51.8%,20.2%,-1.0,-0%,2.0,31%,66%,42%
,0.336,94,0.295,0.164,3.0%,18.0%,8.6%,24.4%,40.4%,27.5%,0.71,28.0%,51.8%,20.2%,-15.2,-0.8%,34.6,31%,66%,42%
