Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.244,0.308,0.382,0.69,0.282,2.5%,19.2%,7.7%,23.1%,43.9%,23.8%,0.81,12.3,9.2%,94.6
Boston Red Sox,0.26,0.321,0.409,0.73,0.303,2.5%,19.5%,7.7%,23.3%,43.5%,23.7%,0.8,-1.3,0.3%,-26.0
Chicago White Sox,0.265,0.337,0.401,0.738,0.309,2.2%,18.4%,8.9%,23.3%,46.2%,22.4%,0.89,-11.5,-5.4%,-101.7
Cleveland Indians,0.25,0.312,0.385,0.697,0.312,2.2%,23.4%,7.5%,24.1%,46.8%,21.1%,0.91,5.1,0.2%,36.0
Detroit Tigers,0.263,0.321,0.401,0.723,0.314,2.1%,20.1%,7.5%,22.4%,44.6%,24.3%,0.83,2.4,4.0%,-30.9
Houston Astros,0.26,0.323,0.396,0.719,0.302,2.3%,18.5%,7.9%,23.2%,46.7%,21.8%,0.91,-5.7,-1.0%,-61.1
Kansas City Royals,0.25,0.31,0.377,0.687,0.294,2.1%,19.1%,7.2%,23.7%,43.1%,24.4%,0.78,10.6,8.7%,59.8
Los Angeles Angels of Anaheim,0.236,0.305,0.351,0.656,0.287,2.0%,21.7%,8.2%,23.6%,42.0%,24.7%,0.75,7.4,4.9%,36.3
Minnesota Twins,0.28,0.33,0.428,0.758,0.317,2.4%,16.6%,6.6%,25.0%,42.2%,23.3%,0.75,-11.6,-2.5%,-104.8
New York Yankees,0.25,0.305,0.395,0.7,0.301,2.7%,22.4%,6.5%,24.1%,44.0%,23.8%,0.81,6.0,2.4%,7.0
Oakland Athletics,0.233,0.29,0.356,0.646,0.274,2.5%,20.8%,6.8%,24.4%,45.5%,20.9%,0.86,5.6,5.3%,96.6
Seattle Mariners,0.23,0.295,0.356,0.652,0.277,2.3%,22.1%,7.8%,24.2%,45.8%,21.1%,0.87,11.7,7.1%,96.8
Tampa Bay Rays,0.234,0.3,0.362,0.662,0.288,2.4%,23.4%,7.9%,23.1%,40.8%,26.1%,0.71,4.5,-0.3%,41.4
Texas Rangers,0.272,0.336,0.428,0.764,0.311,2.6%,17.9%,8.2%,26.4%,39.7%,23.9%,0.67,-6.3,-2.7%,-103.9
Toronto Blue Jays,0.253,0.318,0.407,0.724,0.295,2.5%,19.5%,8.0%,23.3%,43.1%,24.5%,0.78,0.0,-0.7%,-18.4
League Average,0.252,0.314,0.389,0.703,0.298,2.3%,20.2%,7.6%,23.8%,43.8%,23.3%,0.8,,,
,0.252,0.314,0.389,0.703,0.298,2.3%,20.2%,7.6%,23.8%,43.8%,23.3%,0.8,,,
