Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.242,0.307,0.395,0.702,0.294,2.9%,23.5%,7.8%,88.8,40.8%,24.6%,43.7%,25.5%,0.79,9.6,6.1%,63.4
Boston Red Sox,0.256,0.325,0.433,0.758,0.307,3.4%,23.1%,8.1%,88.6,40.1%,22.8%,43.6%,25.6%,0.78,0.0,-0.9%,-15.9
Chicago White Sox,0.249,0.337,0.424,0.76,0.3,3.4%,23.3%,10.4%,88.8,39.7%,24.6%,39.8%,27.7%,0.67,-5.3,-1.1%,-81.4
Cleveland Guardians,0.246,0.316,0.4,0.716,0.291,2.8%,21.3%,8.7%,89.0,40.3%,24.8%,40.5%,26.9%,0.69,0.7,0.4%,45.7
Detroit Tigers,0.24,0.305,0.399,0.703,0.286,3.1%,22.6%,7.8%,88.8,39.9%,24.1%,42.3%,25.9%,0.74,7.5,0.9%,20.9
Houston Astros,0.241,0.316,0.408,0.724,0.291,3.3%,23.9%,8.8%,89.1,40.4%,23.6%,41.6%,27.3%,0.72,5.8,7.8%,53.0
Kansas City Royals,0.262,0.336,0.442,0.778,0.304,3.4%,20.7%,9.0%,88.7,39.5%,24.2%,41.2%,26.9%,0.71,-14.4,-1.3%,-127.8
Los Angeles Angels,0.252,0.337,0.422,0.759,0.303,3.3%,22.9%,10.1%,88.1,38.1%,23.9%,40.1%,28.0%,0.68,-4.7,-0.8%,-71.2
Minnesota Twins,0.236,0.299,0.398,0.697,0.293,3.2%,25.9%,7.4%,88.3,38.8%,23.0%,41.1%,27.9%,0.71,10.4,4.6%,112.5
New York Yankees,0.234,0.308,0.396,0.703,0.281,3.2%,23.7%,8.4%,88.2,38.8%,23.0%,43.4%,26.2%,0.78,8.5,3.0%,62.0
Oakland Athletics,0.266,0.355,0.453,0.807,0.308,3.3%,20.4%,10.9%,88.5,39.3%,24.5%,37.5%,28.8%,0.61,-16.5,-2.8%,-214.3
Seattle Mariners,0.237,0.297,0.392,0.689,0.288,3.1%,24.3%,7.0%,88.4,39.4%,23.5%,42.9%,26.1%,0.76,9.1,2.8%,79.3
Tampa Bay Rays,0.231,0.294,0.386,0.68,0.285,3.0%,25.1%,7.3%,88.2,39.0%,23.7%,44.0%,23.9%,0.8,6.9,4.0%,77.5
Texas Rangers,0.245,0.313,0.406,0.719,0.289,3.3%,22.4%,8.2%,88.5,39.3%,22.9%,42.1%,27.4%,0.74,3.3,3.5%,38.6
Toronto Blue Jays,0.241,0.309,0.403,0.711,0.296,3.3%,25.1%,8.0%,88.4,39.9%,24.1%,41.0%,26.9%,0.71,12.6,7.9%,86.6
League Average,0.245,0.317,0.41,0.727,0.294,3.2%,23.2%,8.5%,88.6,39.6%,23.8%,41.6%,26.7%,0.72,,,
,0.245,0.317,0.41,0.727,0.294,3.2%,23.2%,8.5%,88.6,39.6%,23.8%,41.6%,26.7%,0.72,,,
