Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.267,0.339,0.468,0.807,0.303,3.7%,19.7%,8.9%,88.2,39.6%,24.2%,39.8%,27.4%,0.68,-18.5,-2.1%,-162.5
Atlanta Braves,0.234,0.308,0.392,0.7,0.283,3.1%,23.8%,8.7%,87.8,38.7%,24.1%,43.3%,24.5%,0.79,7.3,5.6%,85.9
Chicago Cubs,0.255,0.338,0.442,0.78,0.297,3.8%,21.9%,9.6%,87.7,39.4%,24.0%,44.5%,24.2%,0.83,-6.2,2.6%,-110.8
Cincinnati Reds,0.244,0.327,0.417,0.744,0.3,3.3%,24.6%,10.0%,87.0,37.4%,23.1%,43.8%,24.5%,0.8,6.4,3.1%,22.3
Colorado Rockies,0.26,0.332,0.435,0.767,0.304,3.2%,21.0%,8.9%,88.0,38.1%,24.0%,44.3%,24.7%,0.82,-2.6,-1.8%,-23.3
Los Angeles Dodgers,0.207,0.28,0.344,0.624,0.263,2.7%,26.9%,8.2%,86.3,34.8%,21.6%,43.9%,25.2%,0.81,22.6,15.2%,210.8
Miami Marlins,0.241,0.317,0.401,0.718,0.292,2.7%,22.9%,8.8%,87.4,37.9%,23.5%,44.1%,24.7%,0.81,0.8,0.9%,25.0
Milwaukee Brewers,0.218,0.298,0.358,0.655,0.278,2.8%,27.0%,9.0%,86.8,36.2%,23.2%,44.2%,24.8%,0.82,15.6,10.8%,122.2
New York Mets,0.236,0.307,0.4,0.707,0.289,3.3%,25.1%,8.2%,87.8,38.7%,24.3%,42.1%,25.6%,0.75,5.6,4.0%,34.3
Philadelphia Phillies,0.244,0.316,0.414,0.73,0.298,3.3%,24.4%,8.4%,87.0,37.0%,22.4%,45.3%,23.8%,0.85,-0.8,0.8%,-16.8
Pittsburgh Pirates,0.26,0.341,0.446,0.787,0.304,3.5%,21.4%,9.9%,88.1,38.4%,24.4%,40.8%,26.6%,0.7,-9.8,-0.1%,-116.0
San Diego Padres,0.237,0.312,0.41,0.722,0.29,3.4%,25.1%,8.5%,88.1,39.2%,22.8%,42.7%,26.7%,0.77,2.1,3.1%,10.9
San Francisco Giants,0.23,0.291,0.368,0.658,0.282,2.5%,23.7%,6.9%,87.7,38.9%,23.3%,45.1%,24.1%,0.85,18.3,13.4%,158.2
St. Louis Cardinals,0.234,0.32,0.374,0.695,0.274,2.5%,20.3%,10.1%,87.9,37.7%,23.9%,43.8%,24.7%,0.8,8.6,4.5%,40.5
Washington Nationals,0.254,0.329,0.447,0.776,0.293,4.1%,22.2%,9.0%,87.9,39.8%,23.0%,40.6%,27.5%,0.71,-14.0,-2.2%,-119.8
League Average,0.242,0.317,0.408,0.725,0.29,3.2%,23.3%,8.9%,87.6,38.1%,23.5%,43.2%,25.3%,0.78,,,
,0.242,0.317,0.408,0.725,0.29,3.2%,23.3%,8.9%,87.6,38.1%,23.5%,43.2%,25.3%,0.78,,,
