Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Anaheim Angels,0.247,0.314,0.392,0.706,0.271,2.8%,16.4%,8.4%,26.3%,37.0%,29.3%,0.6,12.7,11.8%,140.8
Baltimore Orioles,0.266,0.336,0.435,0.77,0.288,3.3%,15.5%,8.8%,26.2%,41.3%,26.2%,0.72,-3.2,-0.2%,-7.2
Boston Red Sox,0.246,0.308,0.385,0.693,0.284,2.4%,19.1%,7.1%,25.4%,41.4%,26.3%,0.72,8.5,5.0%,120.2
Chicago White Sox,0.26,0.33,0.423,0.753,0.282,3.1%,15.4%,8.6%,25.2%,38.8%,28.1%,0.66,-2.9,-3.4%,-29.9
Cleveland Indians,0.274,0.348,0.423,0.771,0.312,2.3%,16.9%,9.6%,27.4%,40.7%,25.6%,0.71,-6.7,-0.8%,-76.5
Detroit Tigers,0.285,0.343,0.455,0.798,0.305,2.6%,12.8%,7.5%,27.4%,37.9%,27.3%,0.63,-11.4,-2.0%,-130.0
Kansas City Royals,0.281,0.349,0.464,0.812,0.299,3.3%,14.2%,9.0%,26.7%,38.3%,27.1%,0.64,-10.2,-1.7%,-81.1
Minnesota Twins,0.261,0.318,0.421,0.739,0.288,3.0%,16.7%,7.2%,25.3%,34.5%,31.6%,0.54,12.1,3.7%,66.4
New York Yankees,0.256,0.309,0.395,0.705,0.295,2.3%,18.4%,6.5%,27.5%,38.9%,25.9%,0.66,12.4,4.8%,86.7
Oakland Athletics,0.252,0.315,0.384,0.699,0.284,2.2%,16.6%,7.7%,25.7%,42.6%,24.7%,0.77,14.5,10.8%,122.7
Seattle Mariners,0.257,0.315,0.41,0.724,0.286,2.9%,17.4%,7.2%,27.4%,35.8%,29.5%,0.57,7.3,5.2%,66.2
Tampa Bay Devil Rays,0.279,0.357,0.463,0.82,0.298,3.4%,14.4%,9.7%,28.1%,34.2%,29.9%,0.53,-16.0,-1.7%,-154.0
Texas Rangers,0.272,0.355,0.451,0.806,0.301,3.0%,16.0%,10.4%,29.1%,38.4%,25.8%,0.64,-10.8,-2.5%,-85.8
Toronto Blue Jays,0.269,0.344,0.431,0.775,0.297,2.8%,15.6%,9.3%,26.5%,39.2%,27.4%,0.67,-3.7,-2.7%,-38.3
League Average,0.265,0.332,0.424,0.756,0.292,2.8%,16.1%,8.4%,26.7%,38.5%,27.5%,0.64,,,
,0.265,0.332,0.424,0.756,0.292,2.8%,16.1%,8.4%,26.7%,38.5%,27.5%,0.64,,,
