Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.25,0.322,0.388,0.71,0.299,2.4%,20.7%,8.4%,19.5%,46.0%,23.8%,0.91,14.0,6.6%,97.9
Atlanta Braves,0.257,0.327,0.401,0.728,0.287,2.4%,15.9%,8.9%,18.6%,48.0%,25.1%,0.96,6.4,3.7%,12.1
Chicago Cubs,0.241,0.324,0.372,0.697,0.297,2.3%,22.6%,9.9%,18.0%,47.1%,24.3%,0.95,11.9,12.0%,75.1
Cincinnati Reds,0.278,0.349,0.463,0.812,0.299,3.3%,14.5%,9.2%,22.2%,42.7%,25.7%,0.78,-10.8,-4.4%,-155.7
Colorado Rockies,0.29,0.359,0.47,0.829,0.31,3.1%,13.6%,8.7%,20.4%,44.3%,25.4%,0.83,-8.8,-3.6%,-106.2
Florida Marlins,0.258,0.325,0.396,0.722,0.301,2.1%,18.4%,8.6%,17.8%,43.0%,28.4%,0.79,11.8,9.2%,50.3
Houston Astros,0.248,0.326,0.397,0.722,0.285,2.6%,18.4%,9.2%,15.2%,46.6%,26.6%,0.92,8.8,8.5%,85.4
Los Angeles Dodgers,0.234,0.306,0.354,0.66,0.285,2.1%,21.5%,8.8%,18.4%,48.2%,22.8%,0.99,20.6,11.8%,177.6
Milwaukee Brewers,0.279,0.348,0.462,0.81,0.305,3.4%,16.0%,8.9%,20.8%,41.2%,26.4%,0.74,-11.8,-1.9%,-130.6
Montreal Expos,0.264,0.327,0.423,0.75,0.293,2.9%,16.7%,7.5%,18.4%,46.5%,25.8%,0.91,5.4,0.4%,40.8
New York Mets,0.273,0.345,0.438,0.783,0.299,2.7%,14.6%,9.3%,17.5%,42.9%,28.9%,0.79,-4.0,-1.6%,-35.2
Philadelphia Phillies,0.253,0.327,0.401,0.727,0.289,2.3%,17.1%,8.7%,19.6%,45.0%,23.5%,0.87,2.5,-1.7%,19.9
Pittsburgh Pirates,0.272,0.336,0.431,0.767,0.297,2.8%,14.7%,8.0%,17.2%,45.9%,27.6%,0.9,-3.2,-0.3%,-47.8
San Diego Padres,0.264,0.341,0.437,0.778,0.292,3.3%,17.3%,9.7%,18.4%,44.4%,26.8%,0.84,-13.6,-2.1%,-119.7
San Francisco Giants,0.25,0.321,0.386,0.707,0.282,2.2%,16.5%,9.0%,18.1%,43.9%,27.5%,0.83,13.4,7.3%,106.4
St. Louis Cardinals,0.271,0.336,0.452,0.787,0.293,3.3%,15.2%,8.0%,19.8%,42.3%,27.9%,0.76,-4.8,-5.6%,-47.6
League Average,0.262,0.333,0.418,0.75,0.295,2.7%,17.1%,8.8%,18.8%,44.8%,26.1%,0.85,,,
,0.262,0.333,0.418,0.75,0.295,2.7%,17.1%,8.8%,18.8%,44.8%,26.1%,0.85,,,
