Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Jordy Mercer SS,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.111,0.111,0.111,0.222,19.0,14.0,-0.048,1.49,0.082,-0.130%,-0.03%,1.38,-0.5,3.0,3.0,
Starling Marte CF,5.0,0.0,1.0,0.0,0.0,2.0,5.0,0.111,0.1,0.111,0.211,20.0,13.0,-0.112,1.4,0.032,-0.144%,-0.06%,1.3,-0.8,4.0,0.0,
Andrew McCutchen RF,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,26.0,16.0,-0.227,1.71,0.0,-0.227%,-0.13%,1.58,-1.2,2.0,1.0,
Gregory Polanco LF,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.111,0.111,0.111,0.222,20.0,13.0,-0.207,1.53,0.0,-0.207%,-0.11%,1.42,-1.1,1.0,0.0,
David Freese 3B,4.0,0.0,1.0,0.0,1.0,0.0,5.0,0.375,0.444,0.375,0.819,24.0,14.0,-0.077,1.25,0.048,-0.125%,-0.04%,1.16,-0.1,0.0,4.0,
Francisco Cervelli C,5.0,0.0,1.0,0.0,0.0,2.0,5.0,0.25,0.333,0.375,0.708,21.0,14.0,-0.081,1.44,0.061,-0.142%,-0.04%,1.33,-0.7,11.0,0.0,
Josh Harrison 2B,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.25,0.25,0.25,0.5,20.0,14.0,-0.118,1.68,0.033,-0.151%,-0.07%,1.55,-0.6,2.0,4.0,
Josh Bell 1B,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.143,0.143,0.286,0.429,10.0,6.0,-0.134,1.33,0.0,-0.134%,-0.07%,1.23,-1.0,8.0,0.0,GDP
John Jaso 1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,
Phil Gosselin PH-1B,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,-0.069,2.4,0.0,-0.069%,-0.04%,2.22,-0.3,3.0,0.0,
Adam Frazier DH,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.286,0.444,0.286,0.73,18.0,11.0,-0.097,1.37,0.028,-0.125%,-0.05%,1.27,-0.4,,,
,,,,,,,,,,,,,,,,,,,,,,,
Jameson Taillon P,,,,,,,,,,,,,,,,,,,,,0.0,2.0,
Daniel Hudson P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Felipe Vazquez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Tony Watson P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Juan Nicasio P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Antonio Bastardo P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,41.0,0.0,5.0,0.0,1.0,9.0,42.0,0.122,0.143,0.122,0.265,184.0,119.0,-1.17,1.49,0.284,-1.454%,-0.65%,1.38,-6.7,34.0,14.0,
