Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Dustin Pedroia 2B,3.0,1.0,0.0,0.0,1.0,1.0,4.0,0.278,0.325,0.278,0.603,13.0,8.0,-0.034,1.16,0.056,-0.089%,-0.02%,1.12,-0.5,2.0,3.0,
Andrew Benintendi CF,4.0,1.0,2.0,0.0,0.0,1.0,4.0,0.265,0.366,0.353,0.719,20.0,13.0,0.06,1.22,0.105,-0.046%,0.03%,1.18,0.3,3.0,0.0,
Mookie Betts RF,3.0,0.0,1.0,0.0,1.0,0.0,4.0,0.174,0.296,0.174,0.47,12.0,7.0,0.097,1.61,0.14,-0.043%,0.06%,1.56,0.4,4.0,0.0,
Hanley Ramirez DH,4.0,1.0,1.0,2.0,0.0,1.0,4.0,0.3,0.391,0.4,0.791,15.0,10.0,0.118,2.27,0.208,-0.091%,0.07%,2.21,-0.0,,,2B
Mitch Moreland 1B,3.0,1.0,1.0,0.0,1.0,1.0,4.0,0.324,0.41,0.559,0.969,14.0,10.0,0.013,1.7,0.077,-0.064%,0.01%,1.65,0.3,6.0,0.0,"2B,IW"
Xander Bogaerts SS,4.0,0.0,2.0,1.0,0.0,0.0,4.0,0.333,0.364,0.333,0.697,11.0,10.0,0.231,1.71,0.292,-0.060%,0.14%,1.67,0.6,1.0,2.0,
Marco Hernandez 3B,4.0,0.0,1.0,1.0,0.0,1.0,4.0,0.263,0.263,0.316,0.579,18.0,12.0,-0.018,1.46,0.099,-0.117%,-0.01%,1.42,-0.0,0.0,0.0,2B
Christian Vazquez C,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.625,0.7,1.125,1.825,11.0,7.0,-0.101,1.24,0.0,-0.101%,-0.06%,1.2,-0.8,10.0,2.0,
Brock Holt LF,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.091,0.333,0.091,0.424,19.0,11.0,-0.105,1.29,0.0,-0.105%,-0.06%,1.25,-0.8,1.0,0.0,
Chris Young LF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.355,0.357,0.712,,,,,,,,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Eduardo Rodriguez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Heath Hembree P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Barnes P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Craig Kimbrel P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,31.0,4.0,8.0,4.0,3.0,7.0,34.0,0.258,0.324,0.355,0.678,133.0,88.0,0.261,1.53,0.977,-0.716%,0.15%,1.49,-0.4,27.0,7.0,
