Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Pirates Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Pirates Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Pirates Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Pirates Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Pirates Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Pirates Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Pirates Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Pirates Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Pirates Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Pirates Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Pirates Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Pirates Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3"
t1,0-0,0,---,"7,(3-2) CBBBCFB",,PIT,Jordy Mercer,Eduardo Rodriguez,-3%,47%,Walk
t1,0-0,0,1--,"3,(0-2) SCS",O,PIT,Starling Marte,Eduardo Rodriguez,3%,50%,Strikeout Swinging
t1,0-0,1,1--,"1,(0-0) X",RR,PIT,Andrew McCutchen,Eduardo Rodriguez,-16%,34%,Home Run (Fly Ball to Deep LF Line); Mercer Scores
t1,2-0,1,---,"7,(3-2) SCBFBBX",,PIT,Gregory Polanco,Eduardo Rodriguez,-2%,32%,Single to CF (Line Drive to CF-RF)
t1,2-0,1,1--,"4,(1-2) 11BCFX",,PIT,David Freese,Eduardo Rodriguez,-3%,29%,Single to CF (Line Drive); Polanco to 2B
t1,2-0,1,12-,"3,(0-2) CFS",O,PIT,Josh Harrison,Eduardo Rodriguez,3%,33%,Strikeout Swinging
t1,2-0,2,12-,"8,(3-2) BFSBFF*B>S",O,PIT,Josh Bell,Eduardo Rodriguez,3%,36%,Strikeout Swinging
,,,,,,,,,"2 runs, 3 hits, 0 errors, 2 LOB. Pirates 2, Red Sox 0.","2 runs, 3 hits, 0 errors, 2 LOB. Pirates 2, Red Sox 0.","2 runs, 3 hits, 0 errors, 2 LOB. Pirates 2, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Behind 0-2, Pirates' Chad Kuhl facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Pirates' Chad Kuhl facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Pirates' Chad Kuhl facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Pirates' Chad Kuhl facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Pirates' Chad Kuhl facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Pirates' Chad Kuhl facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Pirates' Chad Kuhl facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Pirates' Chad Kuhl facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Pirates' Chad Kuhl facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Pirates' Chad Kuhl facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Pirates' Chad Kuhl facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Pirates' Chad Kuhl facing 1-2-3"
b1,0-2,0,---,"4,(1-2) CFBS",O,BOS,Dustin Pedroia,Chad Kuhl,-2%,34%,Strikeout Swinging
b1,0-2,1,---,"3,(1-1) CBX",,BOS,Andrew Benintendi,Chad Kuhl,3%,36%,Single to RF (Line Drive to Short RF)
b1,0-2,1,1--,"3,(1-1) CBX",O,BOS,Mookie Betts,Chad Kuhl,-3%,33%,Flyball: CF
b1,0-2,2,1--,"5,(2-2) CBBF1X",O,BOS,Hanley Ramirez,Chad Kuhl,-2%,31%,Flyball: RF (Deep RF)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Pirates 2, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Pirates 2, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Pirates 2, Red Sox 0."
"Top of the 2nd, Pirates Batting, Ahead 2-0, Red Sox' Eduardo Rodriguez facing 8-9-1","Top of the 2nd, Pirates Batting, Ahead 2-0, Red Sox' Eduardo Rodriguez facing 8-9-1","Top of the 2nd, Pirates Batting, Ahead 2-0, Red Sox' Eduardo Rodriguez facing 8-9-1","Top of the 2nd, Pirates Batting, Ahead 2-0, Red Sox' Eduardo Rodriguez facing 8-9-1","Top of the 2nd, Pirates Batting, Ahead 2-0, Red Sox' Eduardo Rodriguez facing 8-9-1","Top of the 2nd, Pirates Batting, Ahead 2-0, Red Sox' Eduardo Rodriguez facing 8-9-1","Top of the 2nd, Pirates Batting, Ahead 2-0, Red Sox' Eduardo Rodriguez facing 8-9-1","Top of the 2nd, Pirates Batting, Ahead 2-0, Red Sox' Eduardo Rodriguez facing 8-9-1","Top of the 2nd, Pirates Batting, Ahead 2-0, Red Sox' Eduardo Rodriguez facing 8-9-1","Top of the 2nd, Pirates Batting, Ahead 2-0, Red Sox' Eduardo Rodriguez facing 8-9-1","Top of the 2nd, Pirates Batting, Ahead 2-0, Red Sox' Eduardo Rodriguez facing 8-9-1","Top of the 2nd, Pirates Batting, Ahead 2-0, Red Sox' Eduardo Rodriguez facing 8-9-1"
t2,2-0,0,---,"6,(2-2) CSBFBX",O,PIT,Phil Gosselin,Eduardo Rodriguez,2%,33%,Popfly: 1B
t2,2-0,1,---,"5,(2-2) BCSBX",O,PIT,Chris Stewart,Eduardo Rodriguez,1%,34%,Groundout: SS-1B (Weak SS)
t2,2-0,2,---,"4,(2-1) BCBX",O,PIT,Jordy Mercer,Eduardo Rodriguez,1%,35%,Flyball: LF (LF-CF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Pirates 2, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Pirates 2, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Pirates 2, Red Sox 0."
