Inning,Win Pct
1,0.5
2,0.53
3,0.5
4,0.66
5,0.68
6,0.71
7,0.67
8,0.64
9,0.66
10,0.64
11,0.67
12,0.69
13,0.67
14,0.66
15,0.65
16,0.59
17,0.63
18,0.53
19,0.57
20,0.61
21,0.64
22,0.61
23,0.57
24,0.56
25,0.58
26,0.6
27,0.62
28,0.65
29,0.62
30,0.59
31,0.56
32,0.59
33,0.62
34,0.63
35,0.61
36,0.59
37,0.57
38,0.61
39,0.63
40,0.65
41,0.62
42,0.67
43,0.69
44,0.75
45,0.73
46,0.76
47,0.79
48,0.77
49,0.8
50,0.79
51,0.82
52,0.85
53,0.8
54,0.77
55,0.81
56,0.76
57,0.81
58,0.85
59,0.84
60,0.85
61,0.84
62,0.82
63,0.87
64,0.81
65,0.73
66,0.61
67,0.4
68,0.39
69,0.15
70,0.17
71,0.29
72,0.18
73,0.04
74,0.0
