Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.45
5,0.47
6,0.49
7,0.5
8,0.48
9,0.46
10,0.45
11,0.41
12,0.43
13,0.47
14,0.5
15,0.47
16,0.46
17,0.47
18,0.44
19,0.47
20,0.49
21,0.5
22,0.54
23,0.52
24,0.55
25,0.58
26,0.56
27,0.59
28,0.62
29,0.6
30,0.63
31,0.67
32,0.59
33,0.57
34,0.52
35,0.63
36,0.65
37,0.69
38,0.67
39,0.64
40,0.59
41,0.63
42,0.66
43,0.68
44,0.66
45,0.68
46,0.65
47,0.62
48,0.67
49,0.71
50,0.73
51,0.71
52,0.69
53,0.68
54,0.74
55,0.79
56,0.83
57,0.85
58,0.89
59,0.97
60,0.98
61,0.97
62,0.95
63,0.98
64,0.99
65,1.0
