Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Kyle Schwarber DH,5.0,0.0,1.0,0.0,0.0,4.0,5.0,0.212,0.343,0.365,0.708,24.0,16.0,-0.18,1.57,0.013,-0.193%,-0.12%,1.73,-1.2,,,
Kris Bryant 3B,4.0,1.0,1.0,1.0,1.0,2.0,5.0,0.281,0.387,0.472,0.859,25.0,13.0,-0.01,1.24,0.115,-0.125%,-0.01%,1.37,0.5,2.0,0.0,HR
Anthony Rizzo 1B,5.0,1.0,1.0,0.0,0.0,1.0,5.0,0.273,0.39,0.5,0.89,16.0,13.0,-0.097,1.11,0.028,-0.125%,-0.06%,1.22,-0.7,7.0,0.0,
Ben Zobrist LF-2B,4.0,0.0,2.0,1.0,1.0,0.0,5.0,0.215,0.338,0.354,0.692,22.0,12.0,0.185,1.05,0.219,-0.034%,0.12%,1.16,1.2,1.0,0.0,2B
Addison Russell SS,5.0,0.0,2.0,0.0,0.0,2.0,5.0,0.281,0.326,0.438,0.765,17.0,11.0,-0.136,1.71,0.067,-0.203%,-0.09%,1.88,-0.2,3.0,2.0,
Willson Contreras C,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.254,0.309,0.413,0.722,12.0,9.0,-0.002,1.45,0.09,-0.091%,-0.00%,1.59,0.4,9.0,2.0,
Jason Heyward RF,4.0,0.0,1.0,0.0,0.0,3.0,4.0,0.282,0.341,0.423,0.764,15.0,11.0,-0.065,1.62,0.062,-0.127%,-0.04%,1.79,-1.2,0.0,0.0,
Javier Baez 2B,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.203,0.262,0.339,0.601,10.0,7.0,-0.138,1.4,0.0,-0.138%,-0.09%,1.54,-1.7,1.0,3.0,GDP
Jon Jay PH-LF,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.394,0.474,0.485,0.959,1.0,1.0,0.083,2.89,0.083,0.000%,0.06%,3.18,0.4,0.0,0.0,
Albert Almora CF,2.0,2.0,1.0,1.0,1.0,0.0,3.0,0.282,0.364,0.513,0.876,10.0,6.0,0.141,1.02,0.158,-0.016%,0.09%,1.12,2.0,1.0,0.0,HR
Miguel Montero PH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379,0.419,0.517,0.937,,,,,,,,,,,,
Matt Szczur PH-CF,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.182,0.25,0.182,0.432,5.0,3.0,-0.107,4.54,0.0,-0.107%,-0.07%,4.99,-0.5,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Jake Arrieta P,,,,,,,,,,,,,,,,,,,,,0.0,2.0,
Mike Montgomery P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Pedro Strop P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Carl Edwards Jr. P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,38.0,4.0,11.0,3.0,3.0,14.0,41.0,0.289,0.341,0.474,0.815,157.0,102.0,-0.326,1.46,0.835,-1.159%,-0.22%,1.61,-1.0,24.0,9.0,
