Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3"
t1,0-0,0,---,"7,(2-2) BCBFFFS",O,CHC,Kyle Schwarber,Steven Wright,-2%,48%,Strikeout Swinging
t1,0-0,1,---,"4,(1-2) CFBX",,CHC,Kris Bryant,Steven Wright,4%,52%,Reached on E1 (throw) (Ground Ball to Front of Home); Bryant to 2B
t1,0-0,1,-2-,"1,(0-0) X",O,CHC,Anthony Rizzo,Steven Wright,-3%,49%,Groundout: 1B-P; Bryant to 3B
t1,0-0,2,--3,"8,(3-2) BCBFFFBC",O,CHC,Ben Zobrist,Steven Wright,-4%,45%,Strikeout Looking
,,,,,,,,,"0 runs, 0 hits, 1 error, 1 LOB. Cubs 0, Red Sox 0.","0 runs, 0 hits, 1 error, 1 LOB. Cubs 0, Red Sox 0.","0 runs, 0 hits, 1 error, 1 LOB. Cubs 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 1-2-3"
b1,0-0,0,---,"7,(3-2) BBBCCFX",O,BOS,Xander Bogaerts,John Lackey,2%,47%,Groundout: SS-1B
b1,0-0,1,---,"1,(0-0) X",O,BOS,Andrew Benintendi,John Lackey,2%,49%,Groundout: 2B-1B (2B-1B)
b1,0-0,2,---,"5,(2-2) CFBBX",O,BOS,Mookie Betts,John Lackey,1%,50%,Groundout: 2B-1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Cubs 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Cubs 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Cubs 0, Red Sox 0."
"Top of the 2nd, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 5-6-7","Top of the 2nd, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 5-6-7","Top of the 2nd, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 5-6-7","Top of the 2nd, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 5-6-7","Top of the 2nd, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 5-6-7","Top of the 2nd, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 5-6-7","Top of the 2nd, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 5-6-7","Top of the 2nd, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 5-6-7","Top of the 2nd, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 5-6-7","Top of the 2nd, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 5-6-7","Top of the 2nd, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 5-6-7","Top of the 2nd, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 5-6-7"
t2,0-0,0,---,"2,(0-1) CX",O,CHC,Jason Heyward,Steven Wright,-2%,48%,Foul Popfly: 3B (3B into Foul Terr.)
t2,0-0,1,---,"6,(1-2) SFBFFX",O,CHC,Addison Russell,Steven Wright,-2%,46%,Lineout: CF (Deep CF)
t2,0-0,2,---,"3,(0-2) CFS",O,CHC,Miguel Montero,Steven Wright,-1%,45%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Cubs 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Cubs 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Cubs 0, Red Sox 0."
