Inning,Win Pct
1,0.5
2,0.48
3,0.52
4,0.49
5,0.45
6,0.47
7,0.49
8,0.5
9,0.48
10,0.46
11,0.45
12,0.47
13,0.45
14,0.41
15,0.32
16,0.35
17,0.39
18,0.43
19,0.35
20,0.33
21,0.25
22,0.26
23,0.27
24,0.19
25,0.2
26,0.25
27,0.38
28,0.35
29,0.39
30,0.35
31,0.32
32,0.34
33,0.36
34,0.35
35,0.31
36,0.37
37,0.34
38,0.31
39,0.3
40,0.19
41,0.21
42,0.22
43,0.23
44,0.31
45,0.34
46,0.28
47,0.28
48,0.3
49,0.27
50,0.29
51,0.31
52,0.32
53,0.5
54,0.46
55,0.53
56,0.68
57,0.72
58,0.8
59,0.77
60,0.81
61,0.84
62,0.85
63,0.84
64,0.83
65,0.84
66,0.85
67,0.86
68,0.82
69,0.74
70,0.81
71,0.92
72,0.91
73,0.9
74,0.95
75,0.95
76,0.9
77,0.95
78,0.94
79,0.98
80,1.0
