Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Xander Bogaerts SS,2.0,1.0,1.0,0.0,2.0,0.0,4.0,0.315,0.375,0.356,0.731,23.0,12.0,0.116,1.21,0.139,-0.023%,0.06%,1.11,1.0,2.0,2.0,
Andrew Benintendi LF,4.0,2.0,2.0,0.0,0.0,1.0,4.0,0.333,0.392,0.478,0.87,14.0,10.0,0.057,1.4,0.127,-0.070%,0.03%,1.29,0.2,0.0,0.0,
Mookie Betts RF,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.293,0.363,0.439,0.802,15.0,9.0,-0.126,1.29,0.024,-0.150%,-0.07%,1.19,-1.0,1.0,0.0,
Hanley Ramirez DH,3.0,2.0,1.0,2.0,1.0,2.0,4.0,0.253,0.314,0.405,0.719,18.0,9.0,0.127,0.89,0.175,-0.048%,0.07%,0.82,1.4,,,HR
Mitch Moreland 1B,4.0,0.0,0.0,1.0,0.0,2.0,4.0,0.273,0.36,0.477,0.837,18.0,13.0,-0.047,1.02,0.022,-0.069%,-0.03%,0.94,-0.7,14.0,1.0,
Dustin Pedroia 2B,3.0,0.0,1.0,0.0,1.0,0.0,4.0,0.289,0.36,0.303,0.663,18.0,9.0,0.096,0.76,0.114,-0.018%,0.05%,0.7,2.0,0.0,3.0,
Jackie Bradley Jr. CF,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.209,0.271,0.326,0.596,13.0,10.0,-0.098,0.98,0.0,-0.098%,-0.05%,0.91,-1.2,3.0,0.0,
Christian Vazquez C,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.412,0.444,0.588,1.033,17.0,11.0,-0.099,1.0,0.0,-0.099%,-0.06%,0.92,-1.0,6.0,3.0,GDP
Marco Hernandez 3B,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.288,0.315,0.327,0.642,16.0,8.0,0.173,1.82,0.202,-0.029%,0.10%,1.69,0.9,0.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,
Eduardo Rodriguez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Joe Kelly P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Robby Scott P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Barnes P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Craig Kimbrel P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Team Totals,29.0,6.0,6.0,3.0,5.0,9.0,34.0,0.207,0.324,0.31,0.634,152.0,91.0,0.199,1.16,0.803,-0.604%,0.11%,1.07,1.6,27.0,12.0,
