Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3"
t1,0-0,0,---,"11,(3-2) BBFFFFFFFBX",O,BAL,Seth Smith,Rick Porcello,-2%,48%,Groundout: P-1B (Front of Home)
t1,0-0,1,---,"4,(1-2) CSBS",O,BAL,Adam Jones,Rick Porcello,-2%,46%,Strikeout Swinging
t1,0-0,2,---,"2,(0-1) CX",O,BAL,Manny Machado,Rick Porcello,-1%,45%,Groundout: 3B-1B (SS-3B Hole)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Orioles 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Orioles 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Orioles 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dylan Bundy facing 1-2-3"
b1,0-0,0,---,"4,(1-2) CBCX",O,BOS,Xander Bogaerts,Dylan Bundy,2%,47%,Groundout: 3B-1B
b1,0-0,1,---,"6,(3-2) BBCBFB",,BOS,Andrew Benintendi,Dylan Bundy,-2%,45%,Walk
b1,0-0,1,1--,"2,(1-0) BX",OO,BOS,Mookie Betts,Dylan Bundy,5%,50%,Ground Ball Double Play: 3B-2B-1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Orioles 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Orioles 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Orioles 0, Red Sox 0."
"Top of the 2nd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Orioles Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6"
t2,0-0,0,---,"4,(0-2) CSFX",O,BAL,Mark Trumbo,Rick Porcello,-2%,48%,Foul Popfly: 3B (3B into Foul Terr.)
t2,0-0,1,---,"6,(3-2) CTBBBS",O,BAL,Chris Davis,Rick Porcello,-2%,46%,Strikeout Swinging
t2,0-0,2,---,"5,(2-2) FBCBX",,BAL,Jonathan Schoop,Rick Porcello,1%,47%,Single to LF (Line Drive to Short LF)
t2,0-0,2,1--,"5,(2-2) CCBBX",O,BAL,J.J. Hardy,Rick Porcello,-2%,45%,Lineout: RF (Short RF)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0."
