Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mookie Betts RF,4.0,1.0,0.0,0.0,1.0,1.0,5.0,0.296,0.375,0.526,0.901,22.0,13.0,-0.131,1.16,0.06,-0.191%,-0.08%,1.24,-1.0,3.0,0.0,SB
Dustin Pedroia 2B,4.0,0.0,1.0,1.0,1.0,1.0,5.0,0.286,0.366,0.389,0.754,23.0,15.0,0.101,1.03,0.147,-0.046%,0.06%,1.09,0.7,2.0,0.0,
Xander Bogaerts SS,3.0,0.0,1.0,1.0,1.0,1.0,4.0,0.339,0.396,0.433,0.829,21.0,10.0,0.057,1.39,0.104,-0.046%,0.04%,1.48,0.7,0.0,1.0,2B
Andrew Benintendi LF,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.294,0.364,0.448,0.812,14.0,8.0,-0.216,2.07,0.0,-0.216%,-0.14%,2.21,-1.7,1.0,0.0,
Hanley Ramirez DH,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.257,0.341,0.422,0.763,13.0,9.0,0.06,1.23,0.117,-0.057%,0.04%,1.3,0.1,,,
Mitch Moreland 1B,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.254,0.362,0.415,0.777,14.0,6.0,0.051,1.32,0.09,-0.040%,0.03%,1.4,0.2,1.0,0.0,
Chris Young PH,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.337,0.393,0.73,5.0,2.0,-0.06,2.44,0.0,-0.060%,-0.04%,2.6,-0.3,,,
Josh Rutledge 1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281,0.361,0.281,0.642,,,,,,,,,,1.0,0.0,
Christian Vazquez C,4.0,0.0,2.0,0.0,0.0,1.0,4.0,0.364,0.407,0.491,0.898,21.0,14.0,0.033,1.63,0.093,-0.060%,0.02%,1.74,0.1,11.0,0.0,
Jackie Bradley Jr. CF,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.182,0.238,0.299,0.537,15.0,10.0,-0.261,2.21,0.0,-0.261%,-0.17%,2.36,-1.7,7.0,0.0,
Deven Marrero 3B,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.188,0.235,0.313,0.548,19.0,13.0,-0.002,1.46,0.116,-0.117%,-0.00%,1.56,-0.2,1.0,2.0,2B
,,,,,,,,,,,,,,,,,,,,,,,
Drew Pomeranz P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Ben Taylor P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Fernando Abad P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Barnes P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Robbie Ross P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Heath Hembree P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Team Totals,34.0,2.0,6.0,2.0,4.0,10.0,38.0,0.176,0.263,0.235,0.498,167.0,100.0,-0.368,1.5,0.727,-1.094%,-0.23%,1.6,-3.0,27.0,4.0,
