Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Shin-Soo Choo DH,5.0,0.0,2.0,2.0,0.0,0.0,5.0,0.257,0.374,0.39,0.764,16.0,12.0,0.137,0.84,0.194,-0.058%,0.09%,0.88,1.7,,,2B
Elvis Andrus SS,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.275,0.321,0.421,0.742,16.0,10.0,-0.149,0.87,0.0,-0.149%,-0.09%,0.92,-1.7,1.0,2.0,GDP
Nomar Mazara RF,4.0,0.0,2.0,0.0,0.0,1.0,4.0,0.27,0.339,0.459,0.798,17.0,13.0,0.017,0.68,0.053,-0.036%,0.01%,0.71,0.2,1.0,0.0,
Jonathan Lucroy C,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.276,0.318,0.415,0.733,11.0,8.0,-0.151,0.96,0.0,-0.151%,-0.10%,1.01,-1.5,8.0,1.0,"2B,GDP"
Rougned Odor 2B,4.0,1.0,2.0,0.0,0.0,0.0,4.0,0.206,0.259,0.356,0.615,10.0,8.0,0.004,0.53,0.036,-0.032%,0.00%,0.56,-0.1,2.0,2.0,2B
Mike Napoli 1B,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.19,0.261,0.411,0.673,23.0,16.0,0.02,0.69,0.069,-0.050%,0.01%,0.73,0.4,5.0,0.0,
Joey Gallo 3B,4.0,2.0,2.0,1.0,0.0,1.0,4.0,0.193,0.308,0.531,0.839,17.0,10.0,0.022,0.88,0.087,-0.065%,0.01%,0.93,1.1,1.0,4.0,"HR,2B"
Jared Hoying CF,4.0,1.0,2.0,0.0,0.0,1.0,4.0,0.304,0.304,0.478,0.783,18.0,12.0,0.052,0.71,0.084,-0.031%,0.03%,0.75,0.8,2.0,0.0,
Delino DeShields LF,2.0,2.0,1.0,1.0,0.0,0.0,4.0,0.294,0.357,0.343,0.7,17.0,10.0,0.001,0.76,0.038,-0.036%,0.00%,0.8,0.2,3.0,1.0,"HBP,SF"
,,,,,,,,,,,,,,,,,,,,,,,
Andrew Cashner P,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
Dario Alvarez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Jeremy Jeffress P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Tony Barnette P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Alex Claudio P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,36.0,6.0,13.0,4.0,0.0,5.0,38.0,0.361,0.368,0.556,0.924,145.0,99.0,-0.047,0.77,0.561,-0.608%,-0.03%,0.81,1.0,24.0,11.0,
