Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.45
5,0.47
6,0.49
7,0.5
8,0.48
9,0.46
10,0.45
11,0.47
12,0.45
13,0.5
14,0.47
15,0.46
16,0.44
17,0.47
18,0.49
19,0.47
20,0.46
21,0.36
22,0.35
23,0.34
24,0.38
25,0.43
26,0.46
27,0.43
28,0.45
29,0.44
30,0.44
31,0.47
32,0.49
33,0.5
34,0.47
35,0.61
36,0.65
37,0.74
38,0.72
39,0.7
40,0.65
41,0.75
42,0.77
43,0.75
44,0.74
45,0.73
46,0.76
47,0.79
48,0.77
49,0.8
50,0.79
51,0.81
52,0.78
53,0.77
54,0.81
55,0.76
56,0.66
57,0.55
58,0.27
59,0.27
60,0.14
61,0.06
62,0.04
63,0.04
64,0.02
65,0.02
66,0.02
67,0.02
68,0.01
69,0.02
70,0.04
71,0.02
72,0.01
73,0.01
74,0.01
75,0.01
76,0.01
77,0.01
78,0.01
79,0.02
80,0.01
81,0.0
82,0.0
83,0.0
