Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Jean Segura SS,4.0,0.0,3.0,0.0,0.0,0.0,4.0,0.346,0.388,0.478,0.866,21.0,16.0,0.099,0.99,0.122,-0.023%,0.03%,0.52,0.8,2.0,4.0,"2B,SB"
Guillermo Heredia CF,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.279,0.336,0.349,0.685,13.0,8.0,-0.118,1.51,0.024,-0.142%,-0.04%,0.79,-1.0,1.0,0.0,
Robinson Canó 2B,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.298,0.357,0.517,0.874,13.0,9.0,-0.13,1.32,0.0,-0.130%,-0.04%,0.69,-1.2,1.0,4.0,
Nelson Cruz DH,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.289,0.371,0.554,0.925,18.0,10.0,-0.109,0.98,0.0,-0.109%,-0.03%,0.51,-1.0,,,
Kyle Seager 3B,2.0,0.0,1.0,0.0,2.0,0.0,4.0,0.256,0.346,0.384,0.73,19.0,11.0,0.068,0.81,0.089,-0.022%,0.02%,0.43,0.5,1.0,0.0,
Danny Valencia 1B,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.242,0.313,0.389,0.703,17.0,12.0,-0.11,1.18,0.007,-0.117%,-0.03%,0.62,-1.0,7.0,1.0,GDP
Taylor Motter LF,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.206,0.283,0.397,0.68,16.0,10.0,-0.122,0.94,0.0,-0.122%,-0.04%,0.49,-1.2,1.0,0.0,
Ben Gamel RF,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.283,0.374,0.424,0.798,15.0,9.0,-0.079,0.97,0.0,-0.079%,-0.03%,0.51,-0.7,3.0,0.0,
Mike Zunino C,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.153,0.234,0.247,0.481,11.0,6.0,-0.019,0.65,0.018,-0.036%,-0.01%,0.34,-0.2,7.0,1.0,
,,,,,,,,,,,,,,,,,,,,,,,
Yovani Gallardo P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Dan Altavilla P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Steve Cishek P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Team Totals,31.0,0.0,6.0,0.0,3.0,6.0,34.0,0.194,0.265,0.226,0.491,143.0,91.0,-0.52,1.05,0.26,-0.780%,-0.17%,0.55,-5.0,24.0,11.0,
