Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Ian Kinsler 2B,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.241,0.337,0.368,0.704,30.0,21.0,-0.125,0.97,0.0,-0.125%,-0.08%,1.08,-1.3,2.0,3.0,
Nick Castellanos 3B,5.0,1.0,1.0,1.0,0.0,1.0,5.0,0.229,0.307,0.405,0.712,23.0,17.0,0.005,0.77,0.094,-0.089%,0.00%,0.85,0.1,1.0,2.0,HR
Miguel Cabrera 1B,5.0,0.0,0.0,0.0,0.0,4.0,5.0,0.263,0.371,0.409,0.781,23.0,18.0,-0.094,0.72,0.0,-0.094%,-0.06%,0.8,-1.0,9.0,1.0,
Victor Martinez DH,2.0,1.0,2.0,0.0,2.0,0.0,4.0,0.274,0.356,0.401,0.757,25.0,13.0,0.076,0.56,0.076,0.000%,0.05%,0.62,0.8,,,
J.D. Martinez RF,4.0,0.0,3.0,0.0,0.0,1.0,4.0,0.31,0.404,0.747,1.151,13.0,10.0,0.088,1.01,0.122,-0.034%,0.06%,1.11,1.0,3.0,0.0,2B
Justin Upton LF,4.0,0.0,1.0,1.0,0.0,0.0,4.0,0.261,0.351,0.498,0.848,10.0,8.0,-0.06,1.33,0.087,-0.147%,-0.04%,1.47,-0.5,1.0,1.0,
Mikie Mahtook CF,3.0,1.0,1.0,1.0,0.0,0.0,3.0,0.229,0.27,0.457,0.727,13.0,9.0,-0.015,1.38,0.084,-0.098%,-0.01%,1.52,-0.1,0.0,0.0,HR
Alex Presley PH-CF,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.28,0.357,0.44,0.797,5.0,3.0,-0.026,0.97,0.0,-0.026%,-0.02%,1.07,-0.3,1.0,0.0,
James McCann C,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.196,0.281,0.411,0.692,22.0,16.0,-0.079,0.76,0.0,-0.079%,-0.05%,0.83,-1.0,5.0,0.0,
José Iglesias SS,4.0,0.0,3.0,0.0,0.0,0.0,4.0,0.256,0.284,0.375,0.659,21.0,14.0,0.015,0.63,0.057,-0.041%,0.01%,0.7,0.3,2.0,6.0,CS
,,,,,,,,,,,,,,,,,,,,,,,
Jordan Zimmermann P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Shane Greene P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Alex Wilson P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Daniel Stumpf P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,37.0,3.0,11.0,3.0,2.0,10.0,39.0,0.297,0.333,0.486,0.82,185.0,129.0,-0.215,0.88,0.52,-0.733%,-0.14%,0.97,-2.0,24.0,13.0,
