Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mookie Betts RF,5.0,1.0,4.0,1.0,1.0,0.0,6.0,0.276,0.36,0.477,0.837,14.0,11.0,0.31,1.75,0.359,-0.048%,0.23%,2.13,3.2,3.0,0.0,"3·2B,SB,IW"
Dustin Pedroia 2B,6.0,0.0,2.0,2.0,0.0,0.0,6.0,0.298,0.372,0.388,0.76,20.0,15.0,0.023,2.12,0.314,-0.290%,0.02%,2.57,-1.4,1.0,2.0,
Xander Bogaerts SS,5.0,0.0,0.0,0.0,0.0,2.0,5.0,0.318,0.37,0.442,0.812,18.0,14.0,-0.268,1.6,0.0,-0.268%,-0.19%,1.94,-1.6,1.0,1.0,GDP
Mitch Moreland 1B,5.0,1.0,2.0,0.0,0.0,1.0,5.0,0.282,0.379,0.483,0.862,17.0,11.0,-0.018,1.34,0.098,-0.116%,-0.01%,1.62,-0.2,8.0,2.0,
Andrew Benintendi LF,5.0,1.0,3.0,2.0,0.0,1.0,5.0,0.274,0.339,0.43,0.769,20.0,14.0,0.214,1.54,0.28,-0.066%,0.15%,1.87,2.3,1.0,1.0,HR
Hanley Ramirez DH,5.0,1.0,1.0,1.0,0.0,0.0,5.0,0.249,0.35,0.42,0.769,14.0,12.0,0.108,1.65,0.319,-0.211%,0.08%,2.0,-0.5,,,HR
Jackie Bradley Jr. CF,3.0,1.0,2.0,0.0,2.0,0.0,5.0,0.248,0.35,0.452,0.802,19.0,8.0,-0.075,1.66,0.141,-0.216%,-0.05%,2.01,0.1,3.0,0.0,
Josh Rutledge 3B,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.259,0.341,0.309,0.649,11.0,10.0,-0.108,1.71,0.0,-0.108%,-0.08%,2.07,-0.9,2.0,2.0,
Pablo Sandoval PH-3B,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.211,0.258,0.367,0.624,10.0,9.0,0.02,2.07,0.073,-0.053%,0.01%,2.51,0.1,1.0,0.0,
Deven Marrero PR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.159,0.198,0.305,0.503,,,0.0,,0.0,0.000%,0%,,0.0,,,
Sandy Leon C,4.0,0.0,1.0,0.0,0.0,2.0,5.0,0.223,0.269,0.355,0.625,15.0,10.0,-0.077,1.96,0.081,-0.158%,-0.06%,2.38,-0.4,12.0,1.0,SH
,,,,,,,,,,,,,,,,,,,,,,,
Rick Porcello P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Joe Kelly P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Robby Scott P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Craig Kimbrel P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Barnes P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,43.0,6.0,16.0,6.0,3.0,8.0,47.0,0.372,0.413,0.581,0.994,158.0,114.0,0.129,1.72,1.665,-1.534%,0.09%,2.09,0.9,33.0,9.0,
