Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3"
t1,0-0,0,---,"1,(0-0) X",O,PHI,Odubel Herrera,David Price,2%,52%,Lineout: LF
t1,0-0,1,---,"4,(1-2) CBCX",O,PHI,Daniel Nava,David Price,2%,54%,Groundout: 3B-1B
t1,0-0,2,---,"1,(0-0) X",O,PHI,Aaron Altherr,David Price,1%,55%,Flyball: CF (Deep CF-RF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Phillies 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Ben Lively facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Ben Lively facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Ben Lively facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Ben Lively facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Ben Lively facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Ben Lively facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Ben Lively facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Ben Lively facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Ben Lively facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Ben Lively facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Ben Lively facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Ben Lively facing 1-2-3"
b1,0-0,0,---,"1,(0-0) X",O,BOS,Mookie Betts,Ben Lively,-2%,53%,Popfly: 3B (Weak SS)
b1,0-0,1,---,"2,(1-0) BX",,BOS,Dustin Pedroia,Ben Lively,2%,55%,Single to LF (Line Drive to LF-CF)
b1,0-0,1,1--,"4,(1-2) CBCX",,BOS,Xander Bogaerts,Ben Lively,8%,63%,Double to LF (Line Drive to Deep LF Line); Pedroia to 3B
b1,0-0,1,-23,"12,(2-2) SBSFFFFFBFFH",,BOS,Mitch Moreland,Ben Lively,1%,64%,Hit By Pitch
