Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Cameron Maybin CF,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.271,0.381,0.433,0.814,16.0,10.0,-0.068,0.64,0.0,-0.068%,-0.03%,0.49,-0.9,1.0,0.0,
Kole Calhoun RF,4.0,0.0,2.0,1.0,0.0,1.0,4.0,0.245,0.324,0.387,0.711,11.0,7.0,-0.003,0.58,0.041,-0.044%,-0.00%,0.45,0.4,2.0,0.0,2B
Albert Pujols DH,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.239,0.285,0.384,0.669,17.0,12.0,0.006,0.68,0.057,-0.051%,0.00%,0.52,-0.0,,,2B
Yunel Escobar 3B,4.0,0.0,2.0,0.0,0.0,2.0,4.0,0.28,0.331,0.415,0.746,16.0,12.0,-0.007,0.83,0.057,-0.064%,-0.00%,0.64,-0.1,0.0,3.0,2B
Luis Valbuena 1B,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.188,0.288,0.323,0.611,15.0,11.0,-0.109,1.03,0.0,-0.109%,-0.05%,0.8,-1.3,8.0,1.0,
Andrelton Simmons SS,4.0,0.0,2.0,0.0,0.0,0.0,4.0,0.281,0.338,0.41,0.747,12.0,9.0,0.035,0.7,0.092,-0.057%,0.02%,0.54,0.3,2.0,2.0,GDP
Ben Revere LF,3.0,1.0,1.0,0.0,1.0,0.0,4.0,0.206,0.221,0.301,0.523,18.0,11.0,-0.014,0.56,0.027,-0.041%,-0.01%,0.43,0.0,2.0,0.0,2B
Martin Maldonado C,4.0,1.0,1.0,1.0,0.0,3.0,4.0,0.261,0.33,0.424,0.754,21.0,16.0,-0.036,0.63,0.023,-0.059%,-0.02%,0.49,0.4,7.0,0.0,3B
Cliff Pennington 2B,4.0,1.0,1.0,1.0,0.0,1.0,4.0,0.253,0.33,0.308,0.638,14.0,9.0,-0.007,0.47,0.029,-0.035%,-0.00%,0.36,0.2,1.0,2.0,2B
,,,,,,,,,,,,,,,,,,,,,,,
Alex Meyer P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Eduardo Paredes P,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
Huston Street P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Jose Alvarez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,35.0,4.0,10.0,3.0,1.0,11.0,36.0,0.286,0.306,0.486,0.791,140.0,97.0,-0.203,0.68,0.326,-0.528%,-0.10%,0.52,-1.0,24.0,11.0,
