Inning,Win Pct
1,0.5
2,0.48
3,0.5
4,0.54
5,0.49
6,0.58
7,0.55
8,0.57
9,0.54
10,0.6
11,0.58
12,0.56
13,0.55
14,0.45
15,0.39
16,0.43
17,0.41
18,0.44
19,0.5
20,0.47
21,0.46
22,0.48
23,0.44
24,0.47
25,0.49
26,0.5
27,0.47
28,0.5
29,0.52
30,0.48
31,0.6
32,0.56
33,0.59
34,0.62
35,0.63
36,0.61
37,0.59
38,0.57
39,0.61
40,0.63
41,0.65
42,0.72
43,0.71
44,0.72
45,0.75
46,0.73
47,0.64
48,0.7
49,0.76
50,0.8
51,0.79
52,0.81
53,0.89
54,0.91
55,0.93
56,0.92
57,0.92
58,0.94
59,0.95
60,0.96
61,0.96
62,0.95
63,0.95
64,0.97
65,0.98
66,0.98
67,0.98
68,0.98
69,0.98
70,0.99
71,0.98
72,0.99
73,0.99
74,1.0
75,0.99
76,1.0
77,0.99
78,0.98
79,0.95
80,0.9
81,1.0
