Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Brian Dozier 2B,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.25,0.34,0.444,0.783,18.0,13.0,-0.002,0.67,0.041,-0.043%,-0.00%,0.99,-0.2,1.0,2.0,
Eduardo Escobar DH,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.276,0.322,0.447,0.769,17.0,13.0,-0.115,1.12,0.0,-0.115%,-0.10%,1.66,-1.0,,,
Miguel Sano 3B,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.278,0.379,0.555,0.934,24.0,14.0,-0.082,0.75,0.0,-0.082%,-0.07%,1.11,-0.7,1.0,1.0,
Robbie Grossman RF,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.255,0.391,0.396,0.787,16.0,10.0,0.06,1.05,0.084,-0.024%,0.05%,1.56,0.3,0.0,0.0,
Joe Mauer 1B,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.283,0.356,0.4,0.756,2.0,2.0,-0.004,0.17,0.0,-0.004%,-0.00%,0.25,-0.1,1.0,0.0,
Kennys Vargas 1B,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.234,0.264,0.426,0.689,17.0,9.0,0.055,1.46,0.101,-0.046%,0.05%,2.16,0.2,4.0,1.0,
Max Kepler PR-RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249,0.316,0.414,0.73,,,,,,,,,,0.0,0.0,
Jorge Polanco SS,3.0,0.0,1.0,0.0,0.0,2.0,3.0,0.251,0.301,0.358,0.659,11.0,9.0,-0.142,1.46,0.013,-0.155%,-0.13%,2.15,-1.0,0.0,3.0,CS
Chris Gimenez C,3.0,1.0,1.0,1.0,0.0,0.0,3.0,0.213,0.34,0.427,0.767,15.0,8.0,-0.098,1.85,0.097,-0.194%,-0.09%,2.74,-0.1,8.0,0.0,"HR,GDP"
Eddie Rosario LF,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.276,0.314,0.465,0.779,9.0,9.0,-0.068,0.85,0.0,-0.068%,-0.06%,1.26,-0.6,4.0,0.0,
Byron Buxton CF,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.199,0.273,0.292,0.565,12.0,9.0,-0.073,0.92,0.0,-0.073%,-0.06%,1.36,-0.6,4.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Jose Berrios P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Matt Belisle P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Buddy Boshers P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Alan Busenitz P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,29.0,1.0,4.0,1.0,2.0,13.0,31.0,0.138,0.194,0.241,0.435,141.0,96.0,-0.469,1.08,0.336,-0.804%,-0.42%,1.6,-4.0,24.0,7.0,
