Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mookie Betts RF,4.0,0.0,1.0,1.0,0.0,0.0,4.0,0.272,0.348,0.47,0.818,11.0,7.0,-0.017,0.94,0.058,-0.076%,-0.02%,1.61,0.2,2.0,0.0,
Eduardo Nunez DH,3.0,0.0,2.0,0.0,1.0,0.0,4.0,0.311,0.34,0.42,0.759,16.0,10.0,0.024,1.07,0.072,-0.047%,0.03%,1.83,0.4,,,
Dustin Pedroia 2B,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.307,0.381,0.411,0.791,17.0,11.0,-0.162,1.55,0.0,-0.162%,-0.17%,2.65,-1.4,4.0,6.0,
Hanley Ramirez 1B,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.253,0.338,0.445,0.783,20.0,11.0,-0.092,0.85,0.0,-0.092%,-0.10%,1.45,-0.9,10.0,0.0,
Jackie Bradley Jr. CF,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.269,0.34,0.45,0.79,19.0,11.0,-0.047,1.07,0.039,-0.086%,-0.05%,1.83,-0.2,0.0,0.0,
Xander Bogaerts SS,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.281,0.337,0.411,0.748,16.0,12.0,-0.137,0.91,0.0,-0.137%,-0.14%,1.55,-1.2,2.0,3.0,GDP
Chris Young LF,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.244,0.327,0.392,0.719,10.0,7.0,0.061,0.81,0.095,-0.034%,0.06%,1.38,0.6,3.0,0.0,3B
Andrew Benintendi PH,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.268,0.349,0.413,0.762,2.0,2.0,0.033,0.63,0.033,0.000%,0.03%,1.08,0.1,,,
Rafael Devers 3B,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.25,0.357,0.583,0.94,11.0,9.0,-0.105,1.26,0.033,-0.139%,-0.11%,2.16,-0.6,0.0,2.0,2B
Sandy Leon C,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.239,0.294,0.378,0.672,18.0,11.0,-0.01,1.12,0.03,-0.040%,-0.01%,1.91,0.0,6.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Rick Porcello P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Brandon Workman P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Robby Scott P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,33.0,2.0,7.0,2.0,2.0,5.0,35.0,0.212,0.257,0.303,0.56,140.0,91.0,-0.452,1.06,0.36,-0.813%,-0.46%,1.81,-3.0,27.0,11.0,
