Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mookie Betts RF,4.0,1.0,1.0,2.0,1.0,1.0,5.0,0.272,0.348,0.467,0.814,10.0,7.0,0.069,0.8,0.126,-0.057%,0.07%,1.34,1.0,2.0,0.0,"HR,IW"
Andrew Benintendi LF,3.0,2.0,3.0,1.0,1.0,0.0,5.0,0.268,0.351,0.415,0.766,21.0,12.0,0.169,0.55,0.169,0.000%,0.17%,0.92,2.6,2.0,0.0,"2·2B,SB,HBP"
Eduardo Nunez 2B,5.0,1.0,2.0,1.0,0.0,0.0,5.0,0.322,0.35,0.453,0.803,22.0,16.0,0.011,0.7,0.091,-0.080%,0.01%,1.17,-0.7,0.0,2.0,SB
Hanley Ramirez DH,4.0,1.0,2.0,2.0,1.0,0.0,5.0,0.253,0.34,0.437,0.777,21.0,11.0,0.095,0.55,0.125,-0.030%,0.10%,0.92,1.7,,,2B
Rafael Devers 3B,4.0,1.0,1.0,2.0,1.0,1.0,5.0,0.406,0.486,0.75,1.236,23.0,15.0,0.104,0.41,0.12,-0.016%,0.10%,0.69,1.0,0.0,0.0,HR
Xander Bogaerts SS,5.0,1.0,1.0,0.0,0.0,0.0,5.0,0.28,0.335,0.406,0.741,18.0,12.0,-0.053,0.46,0.005,-0.058%,-0.05%,0.77,-1.1,1.0,3.0,
Mitch Moreland 1B,5.0,1.0,2.0,1.0,0.0,1.0,5.0,0.242,0.332,0.419,0.75,16.0,11.0,0.07,0.34,0.089,-0.019%,0.07%,0.56,1.2,9.0,1.0,2·2B
Christian Vazquez C,4.0,1.0,2.0,0.0,0.0,0.0,4.0,0.283,0.317,0.392,0.708,14.0,9.0,0.019,0.5,0.034,-0.015%,0.02%,0.83,-0.0,9.0,1.0,
Jackie Bradley Jr. CF,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.26,0.333,0.432,0.765,11.0,7.0,-0.056,0.68,0.014,-0.070%,-0.06%,1.13,-1.0,3.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Rick Porcello P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Fernando Abad P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Heath Hembree P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Addison Reed P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Barnes P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Brandon Workman P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,38.0,9.0,15.0,9.0,4.0,4.0,43.0,0.395,0.465,0.684,1.149,156.0,100.0,0.428,0.56,0.773,-0.345%,0.43%,0.93,4.6,27.0,7.0,
