Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Leury Garcia RF,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.294,0.342,0.463,0.805,11.0,8.0,-0.022,0.65,0.03,-0.052%,0%,0.0,-0.1,3.0,1.0,SB
Yolmer Sanchez DH,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.257,0.312,0.385,0.697,18.0,13.0,0.024,0.78,0.073,-0.049%,0%,0.0,-0.1,,,
José Abreu 1B,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.292,0.348,0.514,0.862,16.0,9.0,-0.064,0.74,0.0,-0.064%,0%,0.0,-0.8,5.0,1.0,
Yoan Moncada 2B,2.0,2.0,0.0,0.0,2.0,1.0,4.0,0.1,0.28,0.25,0.53,20.0,8.0,-0.044,0.83,0.037,-0.081%,0%,0.0,-0.3,1.0,1.0,
Nicky Delmonico LF,4.0,2.0,2.0,3.0,0.0,1.0,4.0,0.273,0.333,0.545,0.879,18.0,12.0,0.212,1.16,0.264,-0.052%,0.00%,0.01,3.5,3.0,1.0,HR
Tyler Saladino 3B,4.0,0.0,2.0,1.0,0.0,0.0,4.0,0.211,0.294,0.27,0.564,22.0,13.0,0.039,0.77,0.068,-0.029%,0%,0.0,0.4,2.0,2.0,
Tim Anderson SS,4.0,0.0,1.0,1.0,0.0,2.0,4.0,0.235,0.256,0.355,0.61,13.0,8.0,-0.029,0.85,0.04,-0.069%,0%,0.0,-0.4,1.0,4.0,2B
Omar Narvaez C,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.26,0.349,0.308,0.657,16.0,9.0,-0.105,0.94,0.0,-0.105%,0%,0.01,-1.2,5.0,0.0,
Adam Engel CF,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.203,0.279,0.316,0.595,14.0,10.0,-0.081,0.94,0.0,-0.081%,0%,0.01,-0.9,3.0,0.0,
Alen Hanson PH,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.239,0.278,0.343,0.621,3.0,2.0,-0.002,0.06,0.0,-0.002%,0%,0.0,-0.1,,,
,,,,,,,,,,,,,,,,,,,,,,,
Miguel Gonzalez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Gregory Infante P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
David Holmberg P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Brad Goldberg P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Aaron Bummer P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Tyler Clippard P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,34.0,5.0,7.0,5.0,2.0,10.0,36.0,0.206,0.25,0.324,0.574,151.0,92.0,-0.072,0.83,0.512,-0.584%,0.00%,0.0,0.0,24.0,11.0,
