Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3"
t1,0-0,0,---,"2,(1-0) BX",R,CHW,Tim Anderson,Drew Pomeranz,-9%,41%,Home Run (Fly Ball to Deep LF-CF)
t1,1-0,0,---,"3,(1-1) BCX",O,CHW,Tyler Saladino,Drew Pomeranz,2%,43%,Groundout: P-1B
t1,1-0,1,---,"2,(0-1) CX",O,CHW,José Abreu,Drew Pomeranz,1%,44%,Groundout: SS-1B
t1,1-0,2,---,"5,(2-2) CBCBT",O,CHW,Kevan Smith,Drew Pomeranz,1%,45%,Strikeout Swinging
,,,,,,,,,"1 run, 1 hit, 0 errors, 0 LOB. White Sox 1, Red Sox 0.","1 run, 1 hit, 0 errors, 0 LOB. White Sox 1, Red Sox 0.","1 run, 1 hit, 0 errors, 0 LOB. White Sox 1, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Behind 0-1, White Sox' James Shields facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, White Sox' James Shields facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, White Sox' James Shields facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, White Sox' James Shields facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, White Sox' James Shields facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, White Sox' James Shields facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, White Sox' James Shields facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, White Sox' James Shields facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, White Sox' James Shields facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, White Sox' James Shields facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, White Sox' James Shields facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, White Sox' James Shields facing 1-2-3"
b1,0-1,0,---,"3,(2-0) BBX",O,BOS,Mookie Betts,James Shields,-2%,43%,Flyball: LF (Short LF-CF)
b1,0-1,1,---,"4,(1-2) CBCX",,BOS,Brock Holt,James Shields,3%,46%,Reached on E5 (Ground Ball to Deep SS-3B Hole)
b1,0-1,1,1--,"3,(2-0) BBX",RR,BOS,Andrew Benintendi,James Shields,17%,62%,Home Run (Fly Ball to Deep CF-RF); Holt Scores/unER
b1,2-1,1,---,"5,(2-2) CBSBX",O,BOS,Eduardo Nunez,James Shields,-1%,61%,Flyball: LF (LF Line)
b1,2-1,2,---,"4,(0-2) CSFC",O,BOS,Rafael Devers,James Shields,-1%,60%,Strikeout Looking
,,,,,,,,,"2 runs, 1 hit, 1 error, 0 LOB. White Sox 1, Red Sox 2.","2 runs, 1 hit, 1 error, 0 LOB. White Sox 1, Red Sox 2.","2 runs, 1 hit, 1 error, 0 LOB. White Sox 1, Red Sox 2."
"Top of the 2nd, White Sox Batting, Behind 1-2, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 2nd, White Sox Batting, Behind 1-2, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 2nd, White Sox Batting, Behind 1-2, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 2nd, White Sox Batting, Behind 1-2, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 2nd, White Sox Batting, Behind 1-2, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 2nd, White Sox Batting, Behind 1-2, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 2nd, White Sox Batting, Behind 1-2, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 2nd, White Sox Batting, Behind 1-2, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 2nd, White Sox Batting, Behind 1-2, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 2nd, White Sox Batting, Behind 1-2, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 2nd, White Sox Batting, Behind 1-2, Red Sox' Drew Pomeranz facing 5-6-7","Top of the 2nd, White Sox Batting, Behind 1-2, Red Sox' Drew Pomeranz facing 5-6-7"
t2,1-2,0,---,"5,(2-2) BCBSX",O,CHW,Leury Garcia,Drew Pomeranz,3%,62%,Groundout: SS-1B
t2,1-2,1,---,"3,(1-1) CBX",,CHW,Yoan Moncada,Drew Pomeranz,-3%,60%,Single to 2B (Ground Ball to Weak SS-2B)
t2,1-2,1,1--,"7,(3-2) CB*BFB1FX",O,CHW,Nicky Delmonico,Drew Pomeranz,2%,62%,Groundout: P-1B (P's Right); Moncada to 2B
t2,1-2,2,-2-,"4,(2-1) BBCX",O,CHW,Adam Engel,Drew Pomeranz,3%,65%,Popfly: 2B (Deep 1B)
