Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.45
5,0.47
6,0.38
7,0.39
8,0.3
9,0.31
10,0.35
11,0.45
12,0.53
13,0.59
14,0.59
15,0.58
16,0.55
17,0.51
18,0.49
19,0.53
20,0.57
21,0.61
22,0.64
23,0.61
24,0.58
25,0.56
26,0.58
27,0.6
28,0.59
29,0.5
30,0.47
31,0.45
32,0.44
33,0.47
34,0.44
35,0.46
36,0.5
37,0.47
38,0.5
39,0.55
40,0.5
41,0.43
42,0.35
43,0.41
44,0.45
45,0.44
46,0.14
47,0.14
48,0.13
49,0.15
50,0.12
51,0.1
52,0.09
53,0.1
54,0.09
55,0.11
56,0.11
57,0.1
58,0.11
59,0.16
60,0.12
61,0.09
62,0.06
63,0.05
64,0.06
65,0.06
66,0.05
67,0.08
68,0.05
69,0.04
70,0.03
71,0.03
72,0.04
73,0.04
74,0.08
75,0.04
76,0.01
77,0.0
