Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Eduardo Nunez 2B,5.0,1.0,2.0,1.0,0.0,0.0,5.0,0.323,0.35,0.459,0.809,19.0,13.0,-0.016,0.55,0.027,-0.042%,-0.01%,0.61,-0.0,3.0,5.0,
Mookie Betts RF,5.0,1.0,1.0,0.0,0.0,2.0,5.0,0.265,0.341,0.448,0.789,21.0,13.0,-0.016,0.58,0.033,-0.048%,-0.01%,0.65,-1.1,2.0,0.0,
Andrew Benintendi LF,3.0,2.0,1.0,0.0,0.0,0.0,4.0,0.279,0.359,0.45,0.809,11.0,8.0,0.042,0.77,0.065,-0.023%,0.03%,0.86,0.0,2.0,0.0,HBP
Chris Young LF,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.244,0.326,0.415,0.74,4.0,3.0,0.0,0.02,0.0,0.000%,0%,0.02,-0.2,1.0,0.0,
Hanley Ramirez DH,4.0,1.0,2.0,2.0,1.0,1.0,5.0,0.253,0.341,0.438,0.779,17.0,11.0,0.171,0.74,0.173,-0.002%,0.12%,0.83,2.0,,,2B
Rafael Devers 3B,4.0,2.0,2.0,1.0,1.0,0.0,5.0,0.348,0.411,0.667,1.078,9.0,5.0,0.041,0.69,0.09,-0.050%,0.03%,0.78,0.5,3.0,3.0,"GDP,IW"
Xander Bogaerts SS,5.0,1.0,3.0,1.0,0.0,0.0,5.0,0.28,0.336,0.398,0.734,16.0,13.0,0.038,0.66,0.061,-0.022%,0.03%,0.75,1.8,0.0,2.0,
Mitch Moreland 1B,4.0,1.0,2.0,1.0,0.0,1.0,4.0,0.243,0.328,0.421,0.749,12.0,9.0,-0.054,0.93,0.025,-0.078%,-0.04%,1.05,0.7,7.0,0.0,
Brock Holt 1B,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.195,0.284,0.221,0.505,4.0,2.0,-0.001,0.02,0.0,-0.001%,0%,0.02,-0.6,1.0,0.0,GDP
Sandy Leon C,4.0,1.0,1.0,2.0,0.0,0.0,4.0,0.238,0.295,0.379,0.673,6.0,5.0,-0.017,0.44,0.02,-0.037%,-0.01%,0.5,0.6,8.0,1.0,2B
Jackie Bradley Jr. CF,2.0,0.0,1.0,2.0,1.0,0.0,4.0,0.256,0.333,0.42,0.754,18.0,10.0,0.01,0.44,0.033,-0.023%,0.01%,0.49,1.8,0.0,0.0,HBP
,,,,,,,,,,,,,,,,,,,,,,,
Rick Porcello P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Joe Kelly P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Robby Scott P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,38.0,10.0,15.0,10.0,3.0,5.0,43.0,0.395,0.465,0.447,0.912,137.0,92.0,0.198,0.61,0.527,-0.326%,0.14%,0.69,5.6,27.0,11.0,
