Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Cardinals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3"
t1,0-0,0,---,"4,(1-2) BCCC",O,STL,Matt Carpenter,Rick Porcello,2%,52%,Strikeout Looking
t1,0-0,1,---,"5,(1-2) CCFBC",O,STL,Tommy Pham,Rick Porcello,2%,54%,Strikeout Looking
t1,0-0,2,---,"2,(0-1) CX",O,STL,Paul DeJong,Rick Porcello,1%,55%,Groundout: 3B-1B (SS-3B Hole)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Cardinals 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Cardinals 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Cardinals 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Cardinals' Mike Leake facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cardinals' Mike Leake facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cardinals' Mike Leake facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cardinals' Mike Leake facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cardinals' Mike Leake facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cardinals' Mike Leake facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cardinals' Mike Leake facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cardinals' Mike Leake facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cardinals' Mike Leake facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cardinals' Mike Leake facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cardinals' Mike Leake facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Cardinals' Mike Leake facing 1-2-3"
b1,0-0,0,---,"5,(2-2) CBFBX",O,BOS,Eduardo Nunez,Mike Leake,-2%,53%,Groundout: SS-1B
b1,0-0,1,---,"3,(2-0) BBX",O,BOS,Mookie Betts,Mike Leake,-2%,51%,Groundout: 2B-1B
b1,0-0,2,---,"4,(1-2) BCFX",,BOS,Andrew Benintendi,Mike Leake,1%,52%,Single to RF (Line Drive)
b1,0-0,2,1--,"1,(0-0) 1X",,BOS,Hanley Ramirez,Mike Leake,3%,55%,Single to LF (Line Drive to Deep LF); Benintendi to 3B
b1,0-0,2,1-3,"3,(1-1) F*BX",R,BOS,Rafael Devers,Mike Leake,9%,64%,Single to LF (Ground Ball); Benintendi Scores; Ramirez to 2B
b1,1-0,2,12-,"5,(1-2) CSBFX",,BOS,Xander Bogaerts,Mike Leake,2%,66%,Single to 1B (Ground Ball); Ramirez to 3B; Devers to 2B
b1,1-0,2,123,"4,(2-1) BBFX",O,BOS,Mitch Moreland,Mike Leake,-6%,60%,Groundout: 1B unassisted (2B-1B)
,,,,,,,,,"1 run, 4 hits, 0 errors, 3 LOB. Cardinals 0, Red Sox 1.","1 run, 4 hits, 0 errors, 3 LOB. Cardinals 0, Red Sox 1.","1 run, 4 hits, 0 errors, 3 LOB. Cardinals 0, Red Sox 1."
"Top of the 2nd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Cardinals Batting, Behind 0-1, Red Sox' Rick Porcello facing 4-5-6"
t2,0-1,0,---,"7,(3-2) BCBBCFX",,STL,Dexter Fowler,Rick Porcello,-4%,56%,Single to CF (Ground Ball thru SS-2B)
t2,0-1,0,1--,"2,(0-1) CX",OO,STL,Yadier Molina,Rick Porcello,8%,64%,Ground Ball Double Play: SS-2B-1B
t2,0-1,2,---,"6,(1-2) CBFFFC",O,STL,Jedd Gyorko,Rick Porcello,1%,65%,Strikeout Looking
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Cardinals 0, Red Sox 1.","0 runs, 1 hit, 0 errors, 0 LOB. Cardinals 0, Red Sox 1.","0 runs, 1 hit, 0 errors, 0 LOB. Cardinals 0, Red Sox 1."
