Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Matt Carpenter 1B,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.249,0.385,0.447,0.832,9.0,4.0,0.0,0.9,0.023,-0.023%,0%,1.42,-0.0,8.0,0.0,
Luke Voit PH-1B,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.263,0.337,0.475,0.812,4.0,2.0,0.006,0.06,0.006,0.000%,0.01%,0.09,0.9,2.0,0.0,2B
Tommy Pham LF,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.308,0.399,0.491,0.889,22.0,15.0,-0.067,0.68,0.003,-0.070%,-0.06%,1.08,-0.5,2.0,0.0,
Paul DeJong SS,4.0,0.0,2.0,1.0,0.0,0.0,4.0,0.3,0.328,0.577,0.905,15.0,11.0,0.035,0.36,0.05,-0.014%,0.03%,0.57,0.5,3.0,4.0,
Dexter Fowler CF,4.0,1.0,3.0,2.0,0.0,0.0,4.0,0.258,0.358,0.484,0.842,17.0,11.0,0.111,0.77,0.116,-0.005%,0.11%,1.23,2.6,1.0,0.0,2B
Yadier Molina C,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.273,0.308,0.428,0.736,3.0,3.0,-0.26,1.94,0.0,-0.260%,-0.25%,3.08,-2.4,2.0,0.0,GDP
Carson Kelly PH-C,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.182,0.25,0.227,0.477,8.0,5.0,0.006,0.16,0.009,-0.003%,0.01%,0.26,0.5,3.0,0.0,
Jedd Gyorko 3B,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.271,0.34,0.458,0.798,13.0,9.0,0.033,0.64,0.051,-0.018%,0.03%,1.02,0.0,0.0,0.0,
Greg Garcia 3B,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.235,0.36,0.318,0.677,1.0,1.0,-0.002,0.08,0.0,-0.002%,-0.00%,0.13,-0.3,0.0,0.0,
Kolten Wong 2B,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.302,0.393,0.435,0.829,16.0,12.0,-0.079,0.8,0.0,-0.079%,-0.08%,1.28,-1.1,1.0,3.0,
Jose Martinez DH,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.281,0.352,0.491,0.844,19.0,11.0,-0.095,0.62,0.0,-0.096%,-0.09%,0.99,-0.8,,,GDP
Randal Grichuk RF,3.0,0.0,0.0,0.0,1.0,2.0,4.0,0.241,0.289,0.463,0.751,23.0,14.0,0.011,0.15,0.015,-0.003%,0.01%,0.23,-0.5,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Mike Leake P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Bowman P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Brett Cecil P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
John Brebbia P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Sam Tuivailala P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Team Totals,33.0,4.0,10.0,4.0,3.0,9.0,36.0,0.303,0.361,0.364,0.725,150.0,98.0,-0.301,0.59,0.273,-0.573%,-0.29%,0.94,-1.0,24.0,8.0,
