Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.45
5,0.47
6,0.49
7,0.48
8,0.45
9,0.36
10,0.34
11,0.4
12,0.44
13,0.36
14,0.35
15,0.37
16,0.35
17,0.36
18,0.39
19,0.37
20,0.35
21,0.36
22,0.38
23,0.33
24,0.36
25,0.33
26,0.38
27,0.43
28,0.5
29,0.32
30,0.34
31,0.36
32,0.37
33,0.42
34,0.37
35,0.3
36,0.32
37,0.3
38,0.26
39,0.21
40,0.09
41,0.08
42,0.05
43,0.03
44,0.01
45,0.01
46,0.0
47,0.0
48,0.01
49,0.0
50,0.01
51,0.01
52,0.0
53,0.01
54,0.02
55,0.02
56,0.02
57,0.02
58,0.01
59,0.01
60,0.01
61,0.01
62,0.01
63,0.01
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.01
70,0.01
71,0.01
72,0.0
73,0.01
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
