Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Matt Carpenter 1B,5.0,0.0,1.0,1.0,0.0,2.0,5.0,0.249,0.383,0.444,0.827,31.0,18.0,-0.004,0.64,0.058,-0.061%,-0.00%,1.03,0.1,9.0,0.0,
Tommy Pham LF,5.0,0.0,2.0,0.0,0.0,1.0,5.0,0.31,0.399,0.492,0.891,15.0,11.0,-0.021,0.48,0.039,-0.060%,-0.02%,0.76,-0.6,0.0,0.0,2B
Paul DeJong SS,4.0,0.0,1.0,0.0,0.0,3.0,4.0,0.3,0.327,0.576,0.903,19.0,13.0,-0.052,0.71,0.018,-0.070%,-0.05%,1.14,-0.8,3.0,4.0,2B
Dexter Fowler CF,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.258,0.357,0.481,0.838,18.0,10.0,-0.058,0.75,0.016,-0.074%,-0.06%,1.2,-0.5,2.0,0.0,
Yadier Molina C,4.0,1.0,1.0,0.0,0.0,0.0,4.0,0.273,0.308,0.429,0.736,12.0,9.0,0.021,0.62,0.061,-0.040%,0.02%,0.99,-0.1,6.0,0.0,2B
Jedd Gyorko 3B,3.0,1.0,0.0,0.0,1.0,1.0,4.0,0.269,0.339,0.454,0.793,20.0,13.0,0.034,0.73,0.059,-0.025%,0.03%,1.17,0.3,0.0,4.0,
Kolten Wong 2B,4.0,1.0,3.0,1.0,0.0,0.0,4.0,0.31,0.398,0.448,0.846,11.0,9.0,0.136,0.96,0.162,-0.026%,0.13%,1.53,1.8,3.0,4.0,2·2B
Luke Voit DH,4.0,1.0,1.0,1.0,0.0,2.0,4.0,0.262,0.333,0.476,0.81,15.0,13.0,0.039,1.07,0.113,-0.074%,0.04%,1.71,0.2,,,2B
Randal Grichuk RF,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.238,0.285,0.457,0.742,12.0,8.0,-0.087,0.69,0.0,-0.087%,-0.08%,1.1,-1.4,3.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Lance Lynn P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Seunghwan Oh P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Tyler Lyons P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Trevor Rosenthal P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Zach Duke P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
John Brebbia P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,37.0,4.0,10.0,3.0,1.0,11.0,38.0,0.27,0.289,0.432,0.722,153.0,104.0,0.008,0.73,0.526,-0.517%,0.01%,1.17,-1.0,26.0,13.0,
