Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Tim Beckham SS,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.295,0.339,0.48,0.819,18.0,13.0,-0.022,0.87,0.039,-0.060%,-0.01%,0.63,-0.3,1.0,1.0,
Manny Machado 3B,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.263,0.316,0.489,0.805,21.0,13.0,-0.096,0.97,0.0,-0.096%,-0.04%,0.7,-1.1,2.0,5.0,
Jonathan Schoop 2B,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.305,0.351,0.537,0.888,11.0,8.0,-0.068,0.74,0.0,-0.068%,-0.03%,0.53,-0.8,4.0,2.0,
Adam Jones CF,3.0,1.0,1.0,1.0,1.0,0.0,4.0,0.279,0.316,0.468,0.785,16.0,9.0,0.085,0.81,0.118,-0.033%,0.04%,0.58,1.0,1.0,0.0,2B
Trey Mancini LF,4.0,0.0,3.0,1.0,0.0,1.0,4.0,0.293,0.344,0.516,0.86,18.0,13.0,0.169,0.85,0.183,-0.014%,0.07%,0.62,2.2,0.0,0.0,2B
Chris Davis 1B,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.224,0.319,0.44,0.76,14.0,6.0,-0.071,0.85,0.01,-0.081%,-0.03%,0.61,-1.0,6.0,1.0,
Mark Trumbo DH,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.239,0.298,0.411,0.709,11.0,9.0,-0.124,0.88,0.0,-0.124%,-0.05%,0.64,-1.7,,,
Welington Castillo C,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.283,0.323,0.466,0.789,18.0,12.0,-0.11,0.97,0.0,-0.110%,-0.05%,0.7,-1.3,8.0,1.0,
Seth Smith RF,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.267,0.354,0.455,0.81,12.0,5.0,-0.002,0.62,0.028,-0.029%,-0.00%,0.45,0.1,2.0,0.0,
Craig Gentry RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.32,0.359,0.679,,,,,,,,,,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Wade Miley P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Mychal Givens P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Richard Bleier P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Miguel Castro P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Brad Brach P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Team Totals,33.0,2.0,6.0,2.0,2.0,10.0,35.0,0.182,0.229,0.242,0.471,139.0,88.0,-0.239,0.85,0.378,-0.615%,-0.11%,0.61,-3.0,27.0,11.0,
