Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Eduardo Rodriguez,6.0,6,2,2,1,8,1,4.33,25,107,70,34,14,22,10,6,1,0,59.0,,,0.087,0.93,0.06%,1.12,1.3
Joe Kelly,1.0,0,0,0,0,2,0,2.64,3,10,8,3,2,3,0,1,0,0,,0.0,0.0,0.04,0.51,0.03%,0.61,0.6
Addison Reed,1.0,0,0,0,0,0,0,3.25,3,16,9,6,1,2,2,1,0,0,,0.0,0.0,0.033,0.43,0.02%,0.52,0.6
Craig Kimbrel,1.0,1,0,0,1,3,0,1.53,5,24,15,9,3,3,0,1,1,0,,0.0,0.0,0.021,0.48,0.01%,0.58,0.6
Brandon Workman,2.0,1,0,0,1,2,0,2.18,7,19,12,6,1,5,2,2,0,0,,0.0,0.0,0.296,2.81,0.21%,3.4,1.1
Austin Maddox,2.0,1,0,0,0,1,0,0.0,7,29,22,18,3,1,4,2,0,0,,0.0,0.0,0.296,2.42,0.21%,2.93,1.1
Heath Hembree,1.0,0,0,0,0,2,0,3.67,3,15,9,4,2,3,1,0,0,0,,0.0,0.0,0.148,1.89,0.11%,2.29,0.6
Robby Scott,0.2,0,0,0,0,1,0,3.82,2,9,6,2,1,3,0,1,1,0,,0.0,0.0,0.111,2.13,0.08%,2.58,0.4
Blaine Boyer,2.0,0,0,0,1,2,0,4.32,6,20,12,5,1,6,1,2,0,0,,0.0,0.0,0.296,2.14,0.21%,2.59,1.1
Fernando Abad,0.1,2,0,0,0,1,0,2.72,3,14,11,7,1,3,0,2,1,0,,0.0,0.0,0.037,3.47,0.03%,4.19,0.1
Carson Smith,1.0,0,0,0,0,1,0,0.0,3,16,8,4,0,4,2,0,0,0,,0.0,0.0,0.148,2.44,0.11%,2.96,0.6
"Hector Velazquez, W (3-1)",1.0,1,0,0,0,0,0,3.86,4,8,8,6,1,1,2,2,1,0,,0.0,0.0,0.148,2.02,0.11%,2.44,0.6
Team Totals,19.0,12,2,2,4,23,1,0.95,71,287,190,104,30,56,24,20,5,0,59.0,0.0,0.0,1.661,1.64,1.21%,1.98,8.5
