Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.47
5,0.45
6,0.42
7,0.32
8,0.2
9,0.22
10,0.2
11,0.22
12,0.21
13,0.23
14,0.21
15,0.2
16,0.19
17,0.2
18,0.21
19,0.22
20,0.25
21,0.22
22,0.2
23,0.17
24,0.18
25,0.17
26,0.18
27,0.2
28,0.23
29,0.2
30,0.17
31,0.15
32,0.12
33,0.09
34,0.07
35,0.03
36,0.02
37,0.02
38,0.01
39,0.01
40,0.01
41,0.01
42,0.01
43,0.03
44,0.03
45,0.03
46,0.03
47,0.03
48,0.02
49,0.02
50,0.03
51,0.03
52,0.02
53,0.02
54,0.02
55,0.02
56,0.02
57,0.02
58,0.03
59,0.02
60,0.03
61,0.05
62,0.03
63,0.02
64,0.02
65,0.02
66,0.02
67,0.01
68,0.01
69,0.01
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
