Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Xander Bogaerts SS,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.266,0.328,0.394,0.722,16.0,12.0,-0.086,0.98,0.0,-0.086%,-0.03%,0.61,-0.9,1.0,5.0,
Andrew Benintendi LF,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.274,0.356,0.432,0.788,15.0,12.0,-0.009,0.97,0.059,-0.067%,-0.00%,0.61,-0.3,2.0,0.0,
Mookie Betts RF,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.261,0.342,0.435,0.777,23.0,14.0,0.037,1.04,0.09,-0.053%,0.01%,0.65,0.0,0.0,0.0,
Mitch Moreland DH,3.0,1.0,0.0,0.0,1.0,0.0,4.0,0.248,0.331,0.432,0.764,14.0,8.0,-0.187,1.47,0.036,-0.223%,-0.07%,0.92,-1.3,,,GDP
Rafael Devers 3B,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3,0.36,0.513,0.873,15.0,10.0,-0.104,1.14,0.0,-0.104%,-0.04%,0.71,-1.0,0.0,0.0,
Christian Vazquez C,4.0,0.0,2.0,1.0,0.0,1.0,4.0,0.293,0.336,0.407,0.742,17.0,11.0,0.099,0.76,0.135,-0.036%,0.04%,0.47,1.0,10.0,1.0,
Brock Holt 2B,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.174,0.283,0.211,0.494,17.0,7.0,-0.01,1.08,0.033,-0.043%,-0.00%,0.68,0.1,2.0,2.0,SB
Sam Travis 1B,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.308,0.39,0.423,0.813,13.0,9.0,-0.14,1.01,0.016,-0.155%,-0.05%,0.63,-1.6,8.0,0.0,
Jackie Bradley Jr. CF,3.0,0.0,1.0,0.0,0.0,2.0,3.0,0.256,0.334,0.421,0.755,15.0,10.0,-0.02,0.9,0.032,-0.052%,-0.01%,0.56,-0.0,4.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Rick Porcello P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Brandon Workman P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Robby Scott P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Addison Reed P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Fernando Abad P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Barnes P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Craig Kimbrel P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,30.0,1.0,5.0,1.0,3.0,7.0,33.0,0.167,0.242,0.167,0.409,145.0,93.0,-0.42,1.04,0.401,-0.819%,-0.16%,0.65,-4.0,27.0,8.0,
