Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Dustin Pedroia 2B,4.0,2.0,3.0,1.0,0.0,0.0,4.0,0.309,0.385,0.413,0.798,16.0,9.0,0.101,0.69,0.102,-0.001%,0.06%,0.67,1.1,1.0,1.0,
Brock Holt 2B,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.173,0.281,0.209,0.49,3.0,2.0,0.0,0.0,0.0,0.000%,0%,0.0,-0.1,0.0,0.0,
Chris Young LF,5.0,1.0,2.0,0.0,0.0,1.0,5.0,0.237,0.328,0.388,0.717,23.0,15.0,0.015,0.64,0.057,-0.042%,0.01%,0.63,-0.1,0.0,0.0,
Mookie Betts RF,5.0,2.0,3.0,6.0,0.0,0.0,5.0,0.264,0.344,0.45,0.794,13.0,7.0,0.088,0.68,0.196,-0.108%,0.05%,0.66,4.0,3.0,0.0,"2·HR,3B,GDP"
Hanley Ramirez DH,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.24,0.322,0.426,0.749,23.0,14.0,-0.056,0.39,0.0,-0.056%,-0.03%,0.39,-1.3,,,
Sam Travis 1B,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.304,0.381,0.411,0.792,10.0,10.0,0.053,0.35,0.064,-0.011%,0.03%,0.34,-0.1,4.0,0.0,
Xander Bogaerts SS,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.27,0.333,0.4,0.732,16.0,8.0,0.095,0.42,0.095,0.000%,0.06%,0.41,1.8,1.0,1.0,2B
Rafael Devers 3B,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.299,0.357,0.506,0.864,13.0,9.0,0.037,0.51,0.054,-0.017%,0.02%,0.5,-0.4,1.0,1.0,
Christian Vazquez C,4.0,2.0,2.0,2.0,0.0,1.0,4.0,0.296,0.338,0.412,0.749,15.0,11.0,0.113,0.61,0.126,-0.014%,0.07%,0.6,1.7,14.0,1.0,2B
Jackie Bradley Jr. CF,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.257,0.334,0.423,0.757,10.0,6.0,-0.05,0.54,0.007,-0.057%,-0.03%,0.52,0.1,1.0,0.0,2B
Rajai Davis CF,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.231,0.291,0.343,0.634,5.0,4.0,0.0,0.0,0.0,0.000%,0%,0.0,-0.2,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Eduardo Rodriguez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Brandon Workman P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Carson Smith P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Austin Maddox P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,39.0,11.0,16.0,11.0,1.0,5.0,40.0,0.41,0.425,0.692,1.117,147.0,95.0,0.396,0.51,0.701,-0.306%,0.23%,0.5,6.6,27.0,4.0,
