Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
George Springer CF,4.0,0.0,0.0,0.0,1.0,2.0,5.0,0.283,0.367,0.522,0.889,26.0,17.0,-0.111,1.17,0.022,-0.133%,-0.01%,0.16,-1.4,0.0,0.0,
Alex Bregman 3B,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.285,0.353,0.477,0.83,11.0,8.0,-0.083,0.79,0.0,-0.083%,-0.01%,0.11,-1.0,1.0,0.0,
Jose Altuve 2B,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.347,0.411,0.549,0.961,18.0,13.0,-0.03,0.55,0.018,-0.048%,-0.00%,0.07,-0.2,2.0,1.0,
Carlos Correa SS,3.0,1.0,2.0,0.0,1.0,0.0,4.0,0.315,0.391,0.55,0.941,14.0,8.0,0.055,0.66,0.075,-0.020%,0.00%,0.09,1.0,2.0,4.0,
Evan Gattis DH,4.0,0.0,1.0,1.0,0.0,0.0,4.0,0.263,0.311,0.457,0.767,10.0,7.0,-0.026,0.89,0.076,-0.102%,-0.00%,0.12,0.1,,,GDP
Yuli Gurriel 1B,3.0,0.0,1.0,1.0,1.0,1.0,4.0,0.297,0.33,0.481,0.811,17.0,9.0,0.094,0.95,0.116,-0.022%,0.01%,0.13,0.7,6.0,0.0,
Brian McCann C,4.0,1.0,1.0,1.0,0.0,1.0,4.0,0.241,0.323,0.436,0.759,15.0,9.0,-0.084,1.39,0.01,-0.094%,-0.01%,0.18,0.3,11.0,1.0,HR
Cameron Maybin RF,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.228,0.318,0.365,0.683,14.0,9.0,-0.139,1.15,0.028,-0.167%,-0.01%,0.15,-1.1,0.0,0.0,"2B,CS"
Derek Fisher LF,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.218,0.315,0.366,0.681,10.0,5.0,0.002,0.47,0.014,-0.012%,0%,0.06,-0.1,2.0,0.0,
Tyler White PH,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.298,0.349,0.561,0.911,5.0,1.0,0.025,2.02,0.025,0.000%,0.00%,0.27,0.2,,,
Tony Kemp PR-LF,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.219,0.265,0.25,0.515,3.0,3.0,-0.029,1.03,0.0,-0.029%,-0.00%,0.14,-0.4,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Lance McCullers Jr. P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Tony Sipp P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
James Hoyt P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Luke Gregerson P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Michael Feliz P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,33.0,3.0,8.0,3.0,4.0,8.0,37.0,0.242,0.324,0.364,0.688,143.0,89.0,-0.326,0.96,0.384,-0.710%,-0.03%,0.13,-2.0,24.0,7.0,
