Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3"
t1,0-0,0,---,"4,(1-2) CBFX",,HOU,George Springer,Rick Porcello,6%,56%,Double to CF (Line Drive)
t1,0-0,0,-2-,"5,(1-2) BFLFB",,HOU,Josh Reddick,Rick Porcello,3%,58%,Wild Pitch; Springer to 3B
t1,0-0,0,--3,"7,(3-2) BFLFB.*BB",,HOU,Josh Reddick,Rick Porcello,3%,62%,Walk
t1,0-0,0,1-3,"3,(2-0) BBX",ROO,HOU,Jose Altuve,Rick Porcello,-6%,56%,Ground Ball Double Play: 2B-SS-1B; Springer Scores
t1,1-0,2,---,"5,(3-1) CBBBB",,HOU,Carlos Correa,Rick Porcello,1%,57%,Walk
t1,1-0,2,1--,"2,(1-0) B1H",,HOU,Marwin Gonzalez,Rick Porcello,2%,58%,Hit By Pitch; Correa to 2B
t1,1-0,2,12-,"4,(1-2) BCFS",O,HOU,Alex Bregman,Rick Porcello,-4%,55%,Strikeout Swinging
,,,,,,,,,"1 run, 1 hit, 0 errors, 2 LOB. Astros 1, Red Sox 0.","1 run, 1 hit, 0 errors, 2 LOB. Astros 1, Red Sox 0.","1 run, 1 hit, 0 errors, 2 LOB. Astros 1, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Behind 0-1, Astros' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Astros' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Astros' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Astros' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Astros' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Astros' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Astros' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Astros' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Astros' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Astros' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Astros' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Astros' Charlie Morton facing 1-2-3"
b1,0-1,0,---,"5,(2-2) BCBFX",O,BOS,Dustin Pedroia,Charlie Morton,2%,57%,Groundout: 1B unassisted
b1,0-1,1,---,"5,(3-1) BBBCX",R,BOS,Xander Bogaerts,Charlie Morton,-10%,47%,Home Run (Fly Ball to CF-RF)
b1,1-1,1,---,"2,(0-1) SX",O,BOS,Andrew Benintendi,Charlie Morton,2%,49%,Groundout: 2B-1B
b1,1-1,2,---,"3,(1-1) BCX",,BOS,Mookie Betts,Charlie Morton,-1%,48%,Single to LF (Line Drive)
b1,1-1,2,1--,"2,(0-1) 11F1>B",,BOS,Mitch Moreland,Charlie Morton,-1%,47%,Betts Steals 2B
