Inning,Win Pct
1,0.5
2,0.56
3,0.58
4,0.62
5,0.56
6,0.57
7,0.58
8,0.55
9,0.57
10,0.47
11,0.49
12,0.48
13,0.47
14,0.5
15,0.59
16,0.54
17,0.49
18,0.57
19,0.59
20,0.62
21,0.55
22,0.51
23,0.45
24,0.37
25,0.44
26,0.53
27,0.61
28,0.58
29,0.57
30,0.59
31,0.56
32,0.51
33,0.6
34,0.58
35,0.62
36,0.59
37,0.58
38,0.56
39,0.59
40,0.62
41,0.63
42,0.61
43,0.59
44,0.57
45,0.61
46,0.57
47,0.32
48,0.34
49,0.32
50,0.35
51,0.31
52,0.38
53,0.32
54,0.27
55,0.23
56,0.26
57,0.32
58,0.39
59,0.32
60,0.26
61,0.3
62,0.22
63,0.24
64,0.25
65,0.27
66,0.5
67,0.45
68,0.5
69,0.44
70,0.47
71,0.48
72,0.73
73,0.68
74,0.74
75,0.79
76,0.83
77,0.81
78,0.83
79,0.8
80,0.82
81,0.92
82,0.9
83,0.78
84,0.88
85,0.95
86,1.0
