Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Brett Gardner CF,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.245,0.362,0.347,0.709,17.0,10.0,-0.037,0.35,0.0,-0.037%,-0.03%,0.4,-0.9,2.0,0.0,
Aaron Judge RF,3.0,1.0,1.0,0.0,1.0,0.0,4.0,0.347,0.475,0.592,1.067,14.0,7.0,-0.005,0.29,0.017,-0.022%,-0.00%,0.33,0.7,2.0,0.0,2B
Giancarlo Stanton LF,3.0,1.0,2.0,0.0,0.0,0.0,4.0,0.259,0.344,0.519,0.863,13.0,7.0,0.018,0.32,0.032,-0.014%,0.01%,0.36,1.5,1.0,0.0,"SB,HBP"
Didi Gregorius SS,3.0,1.0,0.0,0.0,1.0,0.0,4.0,0.333,0.455,0.738,1.193,20.0,11.0,-0.031,0.59,0.02,-0.051%,-0.02%,0.66,-0.7,0.0,1.0,
Gary Sanchez C,4.0,0.0,1.0,3.0,0.0,2.0,4.0,0.133,0.152,0.4,0.552,10.0,9.0,0.008,0.59,0.046,-0.038%,0.01%,0.66,0.9,9.0,0.0,2B
Aaron Hicks DH,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.25,0.25,0.5,23.0,17.0,-0.064,0.61,0.0,-0.064%,-0.04%,0.68,-0.9,,,
Neil Walker 1B,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.209,0.292,0.233,0.524,13.0,10.0,-0.052,0.51,0.0,-0.052%,-0.03%,0.57,-1.2,7.0,1.0,
Tyler Wade 2B,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.097,0.176,0.161,0.338,18.0,13.0,-0.035,0.33,0.0,-0.035%,-0.02%,0.36,-1.0,2.0,1.0,
Ronald Torreyes 3B,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.353,0.353,0.529,0.882,10.0,9.0,-0.01,0.16,0.002,-0.011%,-0.01%,0.17,-0.1,0.0,3.0,2B
,,,,,,,,,,,,,,,,,,,,,,,
Sonny Gray P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Domingo German P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Tommy Kahnle P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Adam Warren P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Team Totals,32.0,3.0,5.0,3.0,2.0,10.0,35.0,0.156,0.229,0.25,0.479,138.0,93.0,-0.208,0.42,0.117,-0.324%,-0.14%,0.47,-1.8,24.0,6.0,
