Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3"
t1,0-0,0,---,"6,(1-2) CFFBFX",,KCR,Whit Merrifield,Eduardo Rodriguez,-4%,47%,Single to RF (Line Drive to Deep 2B)
t1,0-0,0,1--,"10,(3-2) TTBFFBFBFB",,KCR,Jorge Soler,Eduardo Rodriguez,-5%,41%,Walk; Merrifield to 2B
t1,0-0,0,12-,"1,(0-0) H",,KCR,Mike Moustakas,Eduardo Rodriguez,-7%,34%,Hit By Pitch; Merrifield to 3B; Soler to 2B
t1,0-0,0,123,"4,(3-0) BBBB",R,KCR,Salvador Perez,Eduardo Rodriguez,-8%,27%,Walk; Merrifield Scores; Soler to 3B; Moustakas to 2B
t1,1-0,0,123,"4,(1-2) CFBS",O,KCR,Cheslor Cuthbert,Eduardo Rodriguez,6%,32%,Strikeout Swinging
t1,1-0,1,123,"6,(3-2) CFBBBB",R,KCR,Lucas Duda,Eduardo Rodriguez,-8%,25%,Walk; Soler Scores; Moustakas to 3B; Perez to 2B
t1,2-0,1,123,"3,(0-2) CCX",R,KCR,Jon Jay,Eduardo Rodriguez,-6%,18%,Single to 2B (Ground Ball to 2B-1B); Moustakas Scores; Perez to 3B; Duda to 2B
t1,3-0,1,123,"1,(0-0) X",OO,KCR,Alex Gordon,Eduardo Rodriguez,9%,27%,Ground Ball Double Play: 2B-SS-1B
,,,,,,,,,"3 runs, 2 hits, 0 errors, 2 LOB. Royals 3, Red Sox 0.","3 runs, 2 hits, 0 errors, 2 LOB. Royals 3, Red Sox 0.","3 runs, 2 hits, 0 errors, 2 LOB. Royals 3, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 1-2-3"
b1,0-3,0,---,"6,(3-2) BBCBFX",O,BOS,Andrew Benintendi,Jason Hammel,-2%,25%,Lineout: CF (Deep CF)
b1,0-3,1,---,"1,(0-0) X",O,BOS,Hanley Ramirez,Jason Hammel,-1%,24%,Flyball: RF
b1,0-3,2,---,"7,(3-2) CFBBBFX",O,BOS,J.D. Martinez,Jason Hammel,-1%,23%,Groundout: 3B-1B (Weak 3B)
