Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,0,1,2,0,1,2
Jakob Junis,6.0,7.0,2.0,2.0,1.0,5.0,1.0,3.29,26.0,101.0,67.0,43.0,8.0,16.0,10.0,10.0,4.0,0.0,54.0,,,0.067,1.11,0.02%,0.44,1.2,1.0,Whit Merrifield,2B,1.0,Andrew Benintendi,CF
Tim Hill,0.1,1.0,1.0,1.0,0.0,0.0,0.0,4.35,2.0,6.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,-0.034,1.34,-0.01%,0.54,-0.2,2.0,Jorge Soler,DH,2.0,Hanley Ramirez,DH
Brad Keller,0.2,0.0,0.0,0.0,0.0,1.0,0.0,3.48,2.0,10.0,5.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,,1.0,1.0,-0.116,1.94,-0.03%,0.77,-0.3,3.0,Cheslor Cuthbert,3B,3.0,J.D. Martinez,LF
Blaine Boyer,1.0,0.0,0.0,0.0,1.0,1.0,0.0,13.5,4.0,27.0,16.0,10.0,2.0,4.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.033,0.46,0.01%,0.18,0.5,4.0,Salvador Perez,C,4.0,Mitch Moreland,1B
Kevin McCarthy,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.53,9.0,24.0,19.0,11.0,3.0,5.0,5.0,2.0,1.0,0.0,,0.0,0.0,0.431,1.86,0.10%,0.74,1.6,5.0,Jon Jay,RF,5.0,Xander Bogaerts,SS
"Kelvin Herrera, BS (1), W (1-0)",1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.84,5.0,16.0,12.0,7.0,3.0,2.0,0.0,4.0,1.0,0.0,,0.0,0.0,-0.29,2.68,-0.07%,1.07,-0.5,6.0,Abraham Almonte,CF,6.0,Rafael Devers,3B
"Burch Smith, H (1)",0.1,1.0,2.0,2.0,0.0,0.0,0.0,4.61,3.0,14.0,10.0,8.0,0.0,2.0,1.0,1.0,1.0,0.0,,0.0,0.0,-0.072,2.14,-0.02%,0.86,-0.7,7.0,Lucas Duda,1B,7.0,Jackie Bradley Jr.,RF
"Brian Flynn, S (1)",0.2,1.0,0.0,0.0,0.0,0.0,0.0,3.68,3.0,8.0,8.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0,,2.0,2.0,0.117,2.7,0.03%,1.08,-0.8,8.0,Alcides Escobar,SS,8.0,Christian Vazquez,C
Team Totals,13.0,12.0,6.0,6.0,2.0,10.0,2.0,4.15,54.0,206.0,140.0,89.0,19.0,32.0,19.0,22.0,9.0,0.0,54.0,3.0,3.0,0.136,1.53,0.03%,0.61,0.9,9.0,Alex Gordon,LF,9.0,Tzu-Wei Lin,2B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jakob Junis,P,,Chris Sale,P
