Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Marcus Semien SS,5.0,0.0,1.0,0.0,0.0,1.0,5.0,0.273,0.325,0.381,0.705,23.0,13.0,-0.065,0.72,0.017,-0.083%,-0.03%,0.55,-0.6,1.0,5.0,
Matt Joyce LF,4.0,1.0,2.0,1.0,0.0,2.0,4.0,0.202,0.353,0.376,0.729,21.0,13.0,0.106,0.66,0.142,-0.036%,0.05%,0.51,0.9,2.0,0.0,HR
Jed Lowrie 2B,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.331,0.385,0.564,0.95,20.0,14.0,-0.066,0.64,0.0,-0.066%,-0.03%,0.49,-0.8,2.0,5.0,
Khris Davis DH,4.0,1.0,2.0,1.0,0.0,0.0,4.0,0.217,0.293,0.491,0.784,9.0,6.0,0.084,0.99,0.156,-0.072%,0.04%,0.76,0.6,,,"HR,GDP"
Matt Olson 1B,4.0,2.0,2.0,1.0,0.0,1.0,4.0,0.234,0.319,0.386,0.705,14.0,9.0,0.102,0.96,0.151,-0.049%,0.05%,0.74,0.6,11.0,0.0,HR
Matt Chapman 3B,4.0,1.0,2.0,0.0,0.0,1.0,4.0,0.228,0.324,0.43,0.753,16.0,10.0,0.055,0.95,0.083,-0.028%,0.03%,0.74,0.4,0.0,2.0,
Mark Canha RF,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.271,0.327,0.51,0.837,17.0,11.0,-0.118,1.32,0.0,-0.118%,-0.05%,1.02,-1.2,6.0,0.0,
Jonathan Lucroy C,4.0,1.0,1.0,2.0,0.0,0.0,4.0,0.294,0.358,0.394,0.753,19.0,11.0,0.154,1.24,0.233,-0.079%,0.07%,0.96,1.0,4.0,1.0,2B
Dustin Fowler CF,4.0,0.0,1.0,1.0,0.0,1.0,4.0,0.133,0.188,0.267,0.454,15.0,11.0,0.057,0.84,0.113,-0.056%,0.03%,0.65,0.4,1.0,0.0,3B
,,,,,,,,,,,,,,,,,,,,,,,
Sean Manaea P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Yusmeiro Petit P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Blake Treinen P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Team Totals,37.0,6.0,11.0,6.0,0.0,7.0,37.0,0.297,0.297,0.622,0.919,154.0,98.0,0.309,0.92,0.895,-0.587%,0.14%,0.71,1.2,27.0,14.0,
