Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Ozzie Albies 2B,4.0,0.0,1.0,0.0,1.0,0.0,5.0,0.28,0.325,0.569,0.893,14.0,8.0,-0.057,1.02,0.045,-0.102%,-0.04%,1.36,-0.5,2.0,4.0,
Ronald Acuna Jr. RF,5.0,1.0,1.0,0.0,0.0,3.0,5.0,0.248,0.308,0.422,0.73,21.0,14.0,-0.05,0.91,0.04,-0.089%,-0.04%,1.2,-0.8,2.0,0.0,
Freddie Freeman 1B,3.0,1.0,1.0,0.0,1.0,2.0,4.0,0.324,0.425,0.546,0.971,19.0,10.0,0.026,1.19,0.085,-0.059%,0.02%,1.57,0.2,9.0,0.0,
Nick Markakis LF,3.0,0.0,1.0,2.0,1.0,1.0,4.0,0.344,0.414,0.513,0.926,15.0,8.0,0.107,1.32,0.176,-0.068%,0.09%,1.76,1.4,1.0,0.0,2B
Kurt Suzuki DH,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.252,0.321,0.445,0.766,18.0,14.0,-0.114,1.0,0.0,-0.114%,-0.09%,1.33,-1.3,,,
Ender Inciarte CF,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.261,0.312,0.362,0.673,15.0,10.0,-0.104,0.98,0.0,-0.104%,-0.08%,1.3,-1.0,4.0,0.0,
Tyler Flowers C,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.286,0.412,0.381,0.793,16.0,10.0,-0.035,0.73,0.026,-0.061%,-0.03%,0.97,-0.3,5.0,0.0,
Johan Camargo 3B,3.0,0.0,1.0,0.0,1.0,1.0,4.0,0.219,0.387,0.384,0.771,17.0,9.0,0.029,0.74,0.058,-0.028%,0.02%,0.99,0.0,1.0,1.0,
Dansby Swanson SS,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.272,0.313,0.404,0.717,18.0,11.0,-0.087,1.01,0.011,-0.098%,-0.07%,1.34,-0.5,0.0,2.0,2B
,,,,,,,,,,,,,,,,,,,,,,,
Julio Teheran P,,,,,,,,,,,,,,,,,,,,,0.0,2.0,
Jesse Biddle P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Wisler P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,34.0,2.0,7.0,2.0,4.0,12.0,38.0,0.206,0.289,0.265,0.554,153.0,94.0,-0.285,0.99,0.441,-0.723%,-0.23%,1.31,-2.8,24.0,9.0,
