Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.45
5,0.47
6,0.49
7,0.5
8,0.48
9,0.46
10,0.45
11,0.47
12,0.49
13,0.5
14,0.47
15,0.46
16,0.44
17,0.4
18,0.42
19,0.32
20,0.27
21,0.34
22,0.38
23,0.35
24,0.33
25,0.32
26,0.34
27,0.35
28,0.36
29,0.33
30,0.37
31,0.29
32,0.19
33,0.21
34,0.19
35,0.21
36,0.23
37,0.19
38,0.17
39,0.19
40,0.44
41,0.42
42,0.37
43,0.42
44,0.17
45,0.18
46,0.19
47,0.15
48,0.19
49,0.15
50,0.19
51,0.12
52,0.1
53,0.12
54,0.13
55,0.12
56,0.14
57,0.1
58,0.08
59,0.06
60,0.05
61,0.04
62,0.05
63,0.02
64,0.01
65,0.01
66,0.01
67,0.02
68,0.03
69,0.08
70,0.15
71,0.37
72,0.24
73,0.12
74,0.0
