Inning,Win Pct
1,0.5
2,0.53
3,0.5
4,0.54
5,0.75
6,0.73
7,0.8
8,0.8
9,0.77
10,0.72
11,0.59
12,0.52
13,0.58
14,0.46
15,0.46
16,0.37
17,0.4
18,0.37
19,0.4
20,0.42
21,0.44
22,0.54
23,0.5
24,0.6
25,0.55
26,0.51
27,0.55
28,0.46
29,0.54
30,0.61
31,0.59
32,0.57
33,0.56
34,0.59
35,0.61
36,0.62
37,0.66
38,0.62
39,0.64
40,0.66
41,0.79
42,0.91
43,0.91
44,0.9
45,0.92
46,0.93
47,0.93
48,0.93
49,0.92
50,0.93
51,0.93
52,0.94
53,0.92
54,0.94
55,0.92
56,0.94
57,0.92
58,0.88
59,0.91
60,0.93
61,0.92
62,0.9
63,0.92
64,0.93
65,0.92
66,0.8
67,0.76
68,0.65
69,0.63
70,0.69
71,0.66
72,0.64
73,0.63
74,0.55
75,0.63
76,0.55
77,0.43
78,0.26
79,0.08
80,0.12
81,0.06
82,0.06
83,0.03
84,0.04
85,0.02
86,0.04
87,0.01
88,0.01
89,0.01
90,0.01
91,0.01
92,0.02
93,0.01
94,0.0
95,0.0
