Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mookie Betts RF,3.0,0.0,0.0,1.0,0.0,3.0,4.0,0.338,0.421,0.68,1.101,22.0,13.0,-0.035,0.77,0.016,-0.051%,-0.02%,0.82,-0.8,4.0,0.0,SF
Andrew Benintendi LF,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.291,0.375,0.522,0.897,15.0,12.0,-0.057,0.54,0.0,-0.057%,-0.04%,0.58,-1.0,1.0,0.0,
J.D. Martinez DH,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.325,0.393,0.636,1.029,14.0,11.0,-0.02,0.39,0.012,-0.031%,-0.01%,0.41,-0.1,,,
Mitch Moreland 1B,4.0,1.0,1.0,2.0,0.0,1.0,4.0,0.299,0.368,0.569,0.937,13.0,8.0,0.014,0.49,0.052,-0.038%,0.01%,0.52,1.1,6.0,1.0,HR
Xander Bogaerts SS,4.0,1.0,1.0,0.0,0.0,0.0,4.0,0.279,0.333,0.508,0.842,20.0,12.0,0.06,0.49,0.08,-0.020%,0.04%,0.53,0.1,3.0,3.0,2B
Eduardo Nunez 2B,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.252,0.284,0.35,0.634,6.0,6.0,0.065,0.68,0.078,-0.013%,0.04%,0.72,0.4,0.0,1.0,
Rafael Devers 3B,3.0,1.0,1.0,1.0,0.0,0.0,3.0,0.237,0.284,0.419,0.704,12.0,11.0,0.079,0.93,0.106,-0.027%,0.05%,0.99,0.8,0.0,1.0,2B
Sandy Leon C,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.235,0.282,0.333,0.615,15.0,9.0,-0.03,0.65,0.0,-0.030%,-0.02%,0.69,-0.7,13.0,0.0,SF
Jackie Bradley Jr. CF,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.189,0.283,0.297,0.581,11.0,8.0,0.048,0.35,0.048,0.000%,0.03%,0.38,1.1,0.0,0.0,SB
,,,,,,,,,,,,,,,,,,,,,,,
Chris Sale P,,,,,,,,,,,,,,,,,,,,,0.0,2.0,
Joe Kelly P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Barnes P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,30.0,5.0,8.0,5.0,0.0,8.0,32.0,0.267,0.25,0.433,0.683,128.0,90.0,0.124,0.57,0.392,-0.267%,0.08%,0.61,0.7,27.0,8.0,
