Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Cesar Hernandez 2B,5.0,0.0,0.0,0.0,1.0,1.0,6.0,0.268,0.373,0.374,0.747,24.0,12.0,-0.121,1.22,0.032,-0.152%,-0.12%,2.01,-0.9,2.0,7.0,
Rhys Hoskins LF,5.0,0.0,2.0,0.0,1.0,1.0,6.0,0.262,0.37,0.513,0.882,24.0,15.0,-0.027,1.29,0.111,-0.138%,-0.03%,2.14,0.3,3.0,0.0,2·2B
Odubel Herrera CF,4.0,0.0,2.0,0.0,2.0,0.0,6.0,0.278,0.334,0.467,0.801,24.0,12.0,0.171,1.51,0.23,-0.059%,0.17%,2.5,0.8,3.0,0.0,2B
Carlos Santana 1B,5.0,0.0,1.0,0.0,1.0,1.0,6.0,0.211,0.35,0.401,0.751,22.0,11.0,-0.313,2.36,0.032,-0.345%,-0.31%,3.9,-2.1,17.0,0.0,
Asdrubal Cabrera DH,6.0,1.0,2.0,0.0,0.0,2.0,6.0,0.272,0.323,0.478,0.801,25.0,19.0,-0.161,2.01,0.091,-0.252%,-0.16%,3.32,-0.4,,,2B
Maikel Franco 3B,6.0,0.0,2.0,1.0,0.0,1.0,6.0,0.274,0.316,0.483,0.799,14.0,10.0,-0.068,1.83,0.123,-0.190%,-0.07%,3.03,-0.1,1.0,2.0,
Jorge Alfaro C,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.254,0.305,0.398,0.704,5.0,5.0,-0.083,1.1,0.0,-0.083%,-0.08%,1.82,-0.7,6.0,1.0,
Andrew Knapp PH-C,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.223,0.318,0.372,0.689,10.0,7.0,-0.2,2.57,0.0,-0.200%,-0.20%,4.25,-0.7,2.0,0.0,
Roman Quinn RF,5.0,0.0,1.0,0.0,0.0,1.0,5.0,0.167,0.167,0.167,0.333,19.0,13.0,-0.177,1.55,0.032,-0.209%,-0.18%,2.56,-1.1,2.0,0.0,CS
Scott Kingery SS,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.23,0.27,0.331,0.601,18.0,13.0,-0.169,1.29,0.0,-0.169%,-0.17%,2.14,-0.9,1.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,
Aaron Nola P,,,,,,,,,,,,,,,,,,,,,0.0,4.0,
Seranthony Dominguez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Pat Neshek P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Tommy Hunter P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Austin Davis P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Luis Garcia P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,47.0,1.0,10.0,1.0,5.0,10.0,52.0,0.213,0.288,0.298,0.586,185.0,117.0,-1.148,1.66,0.651,-1.797%,-1.14%,2.75,-5.9,37.0,17.0,
