Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3"
t1,0-0,0,---,"2,(1-0) BX",O,PHI,Cesar Hernandez,David Price,2%,52%,Groundout: SS-1B
t1,0-0,1,---,"4,(2-1) CBBX",,PHI,Rhys Hoskins,David Price,-4%,48%,Double to LF (Line Drive to Short LF Line)
t1,0-0,1,-2-,"4,(1-2) FBFX",O,PHI,Odubel Herrera,David Price,3%,52%,Flyball: CF (Deep LF-CF)
t1,0-0,2,-2-,"1,(0-0) X",O,PHI,Carlos Santana,David Price,3%,55%,Popfly: SS
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Phillies 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Phillies 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Phillies 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Aaron Nola facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Aaron Nola facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Aaron Nola facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Aaron Nola facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Aaron Nola facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Aaron Nola facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Aaron Nola facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Aaron Nola facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Aaron Nola facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Aaron Nola facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Aaron Nola facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Phillies' Aaron Nola facing 1-2-3"
b1,0-0,0,---,"3,(0-2) FCX",O,BOS,Mookie Betts,Aaron Nola,-2%,53%,Lineout: RF (Deep RF)
b1,0-0,1,---,"3,(0-2) FCX",O,BOS,Andrew Benintendi,Aaron Nola,-2%,51%,Flyball: LF (LF Line)
b1,0-0,2,---,"4,(0-2) CSFS",O,BOS,J.D. Martinez,Aaron Nola,-1%,50%,Strikeout Swinging
