Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Brett Gardner LF,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.247,0.341,0.383,0.724,14.0,10.0,0.011,0.46,0.035,-0.024%,0.01%,0.51,0.1,1.0,0.0,HBP
Giancarlo Stanton RF,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.277,0.34,0.508,0.849,9.0,9.0,-0.125,1.14,0.0,-0.125%,-0.08%,1.28,-1.3,2.0,0.0,GDP
Didi Gregorius SS,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.268,0.328,0.484,0.812,13.0,11.0,-0.045,0.59,0.0,-0.045%,-0.03%,0.66,-0.5,1.0,4.0,
Aaron Hicks CF,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.252,0.362,0.489,0.85,10.0,5.0,-0.042,0.54,0.0,-0.042%,-0.03%,0.61,-0.5,5.0,0.0,
Gleyber Torres 2B,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.282,0.343,0.54,0.883,11.0,8.0,-0.068,0.87,0.0,-0.068%,-0.05%,0.98,-0.7,4.0,2.0,
Greg Bird 1B,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.23,0.321,0.439,0.76,7.0,7.0,-0.044,0.57,0.0,-0.044%,-0.03%,0.64,-0.5,7.0,1.0,
Miguel Andujar DH,3.0,1.0,1.0,1.0,0.0,0.0,3.0,0.292,0.323,0.499,0.822,6.0,6.0,0.062,0.53,0.082,-0.020%,0.04%,0.6,0.8,,,HR
Austin Romine C,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.261,0.315,0.458,0.773,6.0,5.0,-0.07,0.91,0.0,-0.070%,-0.05%,1.02,-0.7,3.0,0.0,
Neil Walker 3B,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.223,0.303,0.308,0.611,10.0,7.0,-0.045,0.58,0.0,-0.045%,-0.03%,0.65,-0.5,0.0,5.0,
,,,,,,,,,,,,,,,,,,,,,,,
Luis Severino P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
David Robertson P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Tommy Kahnle P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,27.0,1.0,1.0,1.0,0.0,9.0,28.0,0.037,0.071,0.148,0.22,86.0,68.0,-0.366,0.68,0.117,-0.483%,-0.24%,0.76,-3.8,24.0,12.0,
