Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.45
5,0.47
6,0.49
7,0.48
8,0.44
9,0.29
10,0.31
11,0.28
12,0.31
13,0.35
14,0.3
15,0.32
16,0.26
17,0.27
18,0.28
19,0.27
20,0.26
21,0.19
22,0.21
23,0.19
24,0.17
25,0.16
26,0.18
27,0.18
28,0.19
29,0.17
30,0.15
31,0.14
32,0.13
33,0.15
34,0.16
35,0.16
36,0.17
37,0.25
38,0.22
39,0.2
40,0.19
41,0.21
42,0.19
43,0.21
44,0.23
45,0.28
46,0.5
47,0.47
48,0.44
49,0.42
50,0.37
51,0.42
52,0.46
53,0.5
54,0.46
55,0.5
56,0.45
57,0.78
58,0.77
59,0.81
60,0.84
61,0.82
62,0.77
63,0.86
64,0.88
65,0.86
66,0.84
67,0.83
68,0.87
69,0.9
70,0.87
71,0.92
72,0.91
73,0.91
74,0.9
75,0.79
76,0.66
77,0.78
78,0.9
79,0.82
80,1.0
