Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3"
t1,0-0,0,---,"3,(1-1) BCX",O,MIA,Rafael Ortega,David Price,2%,52%,Groundout: 2B-1B (Weak 2B)
t1,0-0,1,---,"3,(0-2) FSC",O,MIA,Brian Anderson,David Price,2%,54%,Strikeout Looking
t1,0-0,2,---,"4,(1-2) CBSX",,MIA,J.T. Realmuto,David Price,-1%,53%,Single to SS (Line Drive to Deep SS-3B Hole)
t1,0-0,2,1--,"2,(0-1) CX",O,MIA,Starlin Castro,David Price,2%,55%,Flyball: RF (Deep RF Line)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Marlins 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Marlins 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Marlins 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Marlins' Trevor Richards facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Marlins' Trevor Richards facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Marlins' Trevor Richards facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Marlins' Trevor Richards facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Marlins' Trevor Richards facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Marlins' Trevor Richards facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Marlins' Trevor Richards facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Marlins' Trevor Richards facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Marlins' Trevor Richards facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Marlins' Trevor Richards facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Marlins' Trevor Richards facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Marlins' Trevor Richards facing 1-2-3"
b1,0-0,0,---,"2,(0-1) CX",O,BOS,Mookie Betts,Trevor Richards,-2%,53%,Lineout: RF (Deep RF Line)
b1,0-0,1,---,"4,(1-2) BFCS",O,BOS,Andrew Benintendi,Trevor Richards,-2%,51%,Strikeout Swinging
b1,0-0,2,---,"3,(0-2) CSC",O,BOS,Steve Pearce,Trevor Richards,-1%,50%,Strikeout Looking
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Marlins 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Marlins 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Marlins 0, Red Sox 0."
"Top of the 2nd, Marlins Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Marlins Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Marlins Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Marlins Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Marlins Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Marlins Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Marlins Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Marlins Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Marlins Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Marlins Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Marlins Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Marlins Batting, Tied 0-0, Red Sox' David Price facing 5-6-7"
t2,0-0,0,---,"2,(0-1) CX",R,MIA,Derek Dietrich,David Price,-10%,40%,Home Run (Fly Ball to Deep LF Line)
t2,1-0,0,---,"4,(1-2) CCBS",O,MIA,Austin Dean,David Price,2%,42%,Strikeout Swinging
t2,1-0,1,---,"6,(2-2) BCSFBX",O,MIA,Miguel Rojas,David Price,2%,44%,Groundout: 1B unassisted (2B-1B)
t2,1-0,2,---,"2,(0-1) CX",O,MIA,JT Riddle,David Price,1%,45%,Popfly: SS (Short LF)
,,,,,,,,,"1 run, 1 hit, 0 errors, 0 LOB. Marlins 1, Red Sox 0.","1 run, 1 hit, 0 errors, 0 LOB. Marlins 1, Red Sox 0.","1 run, 1 hit, 0 errors, 0 LOB. Marlins 1, Red Sox 0."
"Bottom of the 2nd, Red Sox Batting, Behind 0-1, Marlins' Trevor Richards facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Marlins' Trevor Richards facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Marlins' Trevor Richards facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Marlins' Trevor Richards facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Marlins' Trevor Richards facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Marlins' Trevor Richards facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Marlins' Trevor Richards facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Marlins' Trevor Richards facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Marlins' Trevor Richards facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Marlins' Trevor Richards facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Marlins' Trevor Richards facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Marlins' Trevor Richards facing 4-5-6"
b2,0-1,0,---,"6,(3-2) BBCFBS",O,BOS,J.D. Martinez,Trevor Richards,-3%,42%,Strikeout Swinging
b2,0-1,1,---,"3,(1-1) CBX",O,BOS,Xander Bogaerts,Trevor Richards,-2%,40%,Lineout: 2B
b2,0-1,2,---,"12,(3-2) CBFFBFFBFFFX",R,BOS,Eduardo Nunez,Trevor Richards,11%,51%,Home Run (Fly Ball to Deep LF Line)
b2,1-1,2,---,"1,(0-0) X",O,BOS,Ian Kinsler,Trevor Richards,-1%,50%,Lineout: RF (Deep RF)
,,,,,,,,,"1 run, 1 hit, 0 errors, 0 LOB. Marlins 1, Red Sox 1.","1 run, 1 hit, 0 errors, 0 LOB. Marlins 1, Red Sox 1.","1 run, 1 hit, 0 errors, 0 LOB. Marlins 1, Red Sox 1."
"Top of the 3rd, Marlins Batting, Tied 1-1, Red Sox' David Price facing 9-1-2","Top of the 3rd, Marlins Batting, Tied 1-1, Red Sox' David Price facing 9-1-2","Top of the 3rd, Marlins Batting, Tied 1-1, Red Sox' David Price facing 9-1-2","Top of the 3rd, Marlins Batting, Tied 1-1, Red Sox' David Price facing 9-1-2","Top of the 3rd, Marlins Batting, Tied 1-1, Red Sox' David Price facing 9-1-2","Top of the 3rd, Marlins Batting, Tied 1-1, Red Sox' David Price facing 9-1-2","Top of the 3rd, Marlins Batting, Tied 1-1, Red Sox' David Price facing 9-1-2","Top of the 3rd, Marlins Batting, Tied 1-1, Red Sox' David Price facing 9-1-2","Top of the 3rd, Marlins Batting, Tied 1-1, Red Sox' David Price facing 9-1-2","Top of the 3rd, Marlins Batting, Tied 1-1, Red Sox' David Price facing 9-1-2","Top of the 3rd, Marlins Batting, Tied 1-1, Red Sox' David Price facing 9-1-2","Top of the 3rd, Marlins Batting, Tied 1-1, Red Sox' David Price facing 9-1-2"
t3,1-1,0,---,"4,(1-2) BSCC",O,MIA,Isaac Galloway,David Price,3%,53%,Strikeout Looking
t3,1-1,1,---,"2,(1-0) BX",,MIA,Rafael Ortega,David Price,-3%,50%,Single to P (Ground Ball to Weak 2B)
t3,1-1,1,1--,"3,(0-2) CSX",O,MIA,Brian Anderson,David Price,3%,53%,Groundout: 1B-SS/Forceout at 2B
t3,1-1,2,1--,"2,(0-1) CX",R,MIA,J.T. Realmuto,David Price,-12%,41%,Double to CF (Line Drive to Deep LF-CF); Anderson Scores
t3,2-1,2,-2-,"4,(2-1) BCBX",R,MIA,Starlin Castro,David Price,-9%,31%,Single to RF (Line Drive to CF-RF); Realmuto Scores
t3,3-1,2,1--,"2,(0-1) CH",,MIA,Derek Dietrich,David Price,-2%,30%,Hit By Pitch; Castro to 2B
t3,3-1,2,12-,"4,(0-2) CFFX",O,MIA,Austin Dean,David Price,3%,33%,Lineout: P-1B-P (Weak 2B-1B)
,,,,,,,,,"2 runs, 3 hits, 0 errors, 2 LOB. Marlins 3, Red Sox 1.","2 runs, 3 hits, 0 errors, 2 LOB. Marlins 3, Red Sox 1.","2 runs, 3 hits, 0 errors, 2 LOB. Marlins 3, Red Sox 1."
"Bottom of the 3rd, Red Sox Batting, Behind 1-3, Marlins' Trevor Richards facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Marlins' Trevor Richards facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Marlins' Trevor Richards facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Marlins' Trevor Richards facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Marlins' Trevor Richards facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Marlins' Trevor Richards facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Marlins' Trevor Richards facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Marlins' Trevor Richards facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Marlins' Trevor Richards facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Marlins' Trevor Richards facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Marlins' Trevor Richards facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 1-3, Marlins' Trevor Richards facing 8-9-1"
b3,1-3,0,---,"3,(1-1) CBX",O,BOS,Sandy Leon,Trevor Richards,-3%,31%,Flyball: LF (Short LF)
b3,1-3,1,---,"2,(0-1) CX",O,BOS,Jackie Bradley Jr.,Trevor Richards,-2%,29%,Flyball: LF
b3,1-3,2,---,"7,(3-2) CBSBFBX",R,BOS,Mookie Betts,Trevor Richards,11%,39%,Home Run (Fly Ball to Deep LF Line)
b3,2-3,2,---,"5,(3-1) BFBBX",O,BOS,Andrew Benintendi,Trevor Richards,-1%,38%,Groundout: 1B-P (2B-1B)
,,,,,,,,,"1 run, 1 hit, 0 errors, 0 LOB. Marlins 3, Red Sox 2.","1 run, 1 hit, 0 errors, 0 LOB. Marlins 3, Red Sox 2.","1 run, 1 hit, 0 errors, 0 LOB. Marlins 3, Red Sox 2."
"Top of the 4th, Marlins Batting, Ahead 3-2, Red Sox' Hector Velazquez facing 7-8-9","Top of the 4th, Marlins Batting, Ahead 3-2, Red Sox' Hector Velazquez facing 7-8-9","Top of the 4th, Marlins Batting, Ahead 3-2, Red Sox' Hector Velazquez facing 7-8-9","Top of the 4th, Marlins Batting, Ahead 3-2, Red Sox' Hector Velazquez facing 7-8-9","Top of the 4th, Marlins Batting, Ahead 3-2, Red Sox' Hector Velazquez facing 7-8-9","Top of the 4th, Marlins Batting, Ahead 3-2, Red Sox' Hector Velazquez facing 7-8-9","Top of the 4th, Marlins Batting, Ahead 3-2, Red Sox' Hector Velazquez facing 7-8-9","Top of the 4th, Marlins Batting, Ahead 3-2, Red Sox' Hector Velazquez facing 7-8-9","Top of the 4th, Marlins Batting, Ahead 3-2, Red Sox' Hector Velazquez facing 7-8-9","Top of the 4th, Marlins Batting, Ahead 3-2, Red Sox' Hector Velazquez facing 7-8-9","Top of the 4th, Marlins Batting, Ahead 3-2, Red Sox' Hector Velazquez facing 7-8-9","Top of the 4th, Marlins Batting, Ahead 3-2, Red Sox' Hector Velazquez facing 7-8-9"
,,,,,,,,,Hector Velazquez replaces David Price pitching,Hector Velazquez replaces David Price pitching,Hector Velazquez replaces David Price pitching
t4,3-2,0,---,"2,(1-0) ..BX",O,MIA,Miguel Rojas,Hector Velazquez,2%,40%,Groundout: SS-1B (SS-2B)
t4,3-2,1,---,"1,(0-0) X",,MIA,JT Riddle,Hector Velazquez,-3%,38%,Single to LF (Line Drive)
t4,3-2,1,1--,"3,(1-1) BS>B",O,MIA,Isaac Galloway,Hector Velazquez,4%,42%,Riddle Caught Stealing 2B (C-2B)
t4,3-2,2,---,"6,(3-2) BS>B.BCS",O,MIA,Isaac Galloway,Hector Velazquez,1%,43%,Strikeout Swinging
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Marlins 3, Red Sox 2.","0 runs, 1 hit, 0 errors, 0 LOB. Marlins 3, Red Sox 2.","0 runs, 1 hit, 0 errors, 0 LOB. Marlins 3, Red Sox 2."
"Bottom of the 4th, Red Sox Batting, Behind 2-3, Marlins' Trevor Richards facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 2-3, Marlins' Trevor Richards facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 2-3, Marlins' Trevor Richards facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 2-3, Marlins' Trevor Richards facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 2-3, Marlins' Trevor Richards facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 2-3, Marlins' Trevor Richards facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 2-3, Marlins' Trevor Richards facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 2-3, Marlins' Trevor Richards facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 2-3, Marlins' Trevor Richards facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 2-3, Marlins' Trevor Richards facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 2-3, Marlins' Trevor Richards facing 3-4-5","Bottom of the 4th, Red Sox Batting, Behind 2-3, Marlins' Trevor Richards facing 3-4-5"
b4,2-3,0,---,"6,(3-2) BBSBCS",O,BOS,Steve Pearce,Trevor Richards,-3%,40%,Strikeout Swinging
b4,2-3,1,---,"2,(0-1) SX",O,BOS,J.D. Martinez,Trevor Richards,-2%,38%,Lineout: 2B (Deep 2B)
b4,2-3,2,---,"5,(2-2) CBSBS",O,BOS,Xander Bogaerts,Trevor Richards,-1%,36%,Strikeout Swinging
